번호,대분류,중분류,기능명,기능설명,우선순위,사용자유형,상태코드,비고
33,부스관리,부스상태,수리중 처리,부스 수리 상태로 변경,High,물류팀,002002,
34,부스관리,부스상태,폐기 처리,부스 폐기 처리,Medium,물류팀,002003,
35,부스관리,부스배정,행사별 부스 배정,행사에 부스 할당,High,전시팀,,
36,부스관리,부스배정,부스 배정 취소,행사 부스 배정 해제,Medium,전시팀,,
37,부스관리,부스조회,부스 목록 조회,부스 목록 필터링 및 검색,High,물류팀/전시팀,,
38,부스관리,부스조회,부스 상세 조회,부스 상세 정보 확인,High,물류팀/전시팀,,
39,부스관리,부스수정,부스 정보 수정,부스 정보 변경,Medium,물류팀,,
40,부스관리,용처관리,부스 용처 설정,단독/팀공용/회사공용 설정,Medium,물류팀,009001~009003,
41,물품관리,물품등록,물품 등록,새로운 물품 등록,High,물류팀,,
42,물품관리,물품등록,물품 정보 입력,물품명/카테고리/규격/수량 입력,High,물류팀,,
43,물품관리,물품등록,물품 이미지 업로드,물품 사진 업로드,Medium,물류팀,,/upload/image/product
44,물품관리,물품등록,물품 첨부파일 업로드,물품 관련 파일 업로드,Medium,물류팀,,/upload/attach/product
45,물품관리,물품상태,물품 상태 변경,정상/폐기/숨김 상태 변경,High,물류팀,008001~008010,
46,물품관리,물품상태,폐기 처리,물품 폐기 처리,Medium,물류팀,008002,
47,물품관리,물품조회,물품 목록 조회,물품 목록 필터링 및 검색,High,전체,,
48,물품관리,물품조회,물품 상세 조회,물품 상세 정보 확인,High,전체,,
49,물품관리,물품수정,물품 정보 수정,물품 정보 변경,Medium,물류팀,,
50,물품관리,카테고리,물품 카테고리 관리,물품 분류 카테고리 관리,Medium,물류팀,,
51,물품관리,용처관리,물품 용처 설정,단독/팀공용/회사공용 설정,Medium,물류팀,009001~009003,
52,재고관리,재고입고,재고 입고 처리,물품 입고 및 수량 증가,High,물류팀,004001,
53,재고관리,재고출고,재고 출고 처리,물품 출고 및 수량 감소,High,물류팀,004002,
54,재고관리,재고폐기,재고 반품/폐기 처리,불량품 반품 및 폐기 처리,Medium,물류팀,004003,
55,재고관리,재고조회,재고 현황 조회,물품별 재고 수량 확인,High,물류팀,,
56,재고관리,재고조회,재고 이력 조회,입출고 이력 확인,Medium,물류팀,,
57,재고관리,재고알림,재고 부족 알림,재고 10개 이하 시 알림,High,물류팀,,자동 알림
58,재고관리,자동차감,행사 기반 자동 차감,행사 승인 시 자동 재고 차감,High,시스템,011002,
59,재고관리,자동차감,주문 기반 자동 차감,주문 승인 시 자동 재고 차감,High,시스템,011003,
60,재고관리,자동차감,수동 재고 차감,수동으로 재고 차감,Medium,물류팀,011001,
61,주문관리,주문신청,물품 주문 신청,외부 회원의 물품 주문,High,외부사용자,007001,
62,주문관리,주문신청,주문 정보 입력,주문 물품/수량/배송지 입력,High,외부사용자,,
63,주문관리,주문신청,수령자 정보 입력,수령자 정보 입력 및 관리,High,외부사용자,010001,명함첩 연동
64,주문관리,주문승인,주문 확인,신청된 주문 확인 처리,High,물류팀,007002,
65,주문관리,주문승인,주문 반려,신청된 주문 반려 처리,High,물류팀,,
66,주문관리,주문진행,주문 출고 처리,주문 물품 출고 처리,High,물류팀,007003,
67,주문관리,주문진행,주문 완료 처리,주문 완료 처리,High,물류팀,007004,
68,주문관리,주문취소,주문 취소,주문 취소 및 재고 복구,Medium,물류팀/신청자,007010,재고 자동 복구
69,주문관리,주문취소,주문 분실 처리,물품 분실 처리,Low,물류팀,007011,
70,주문관리,주문조회,주문 목록 조회,주문 목록 필터링 및 검색,High,물류팀,,
71,주문관리,주문조회,주문 상세 조회,주문 상세 정보 확인,High,물류팀/신청자,,
72,주문관리,주문조회,내 주문 목록,본인이 신청한 주문 목록 조회,High,외부사용자,,
73,주문관리,배송관리,배송 유형 관리,배송 방법 설정 및 관리,Medium,물류팀,,
74,주문관리,배송관리,배송지 관리,배송 주소 입력 및 관리,Medium,외부사용자,,다음 우편번호 API
75,판촉물관리,판촉물등록,판촉물 등록,판촉물 정보 등록,Medium,디자인팀,,
76,판촉물관리,판촉물등록,판촉물 이미지 업로드,판촉물 사진 업로드,Medium,디자인팀,,/upload/image/brochure/product
77,판촉물관리,판촉물등록,판촉물 첨부파일 업로드,판촉물 관련 파일 업로드,Medium,디자인팀,,/upload/attach/brochure
78,판촉물관리,판촉물조회,판촉물 목록 조회,판촉물 목록 확인,Medium,전체,,
79,판촉물관리,판촉물조회,판촉물 상세 조회,판촉물 상세 정보 확인,Medium,전체,,
80,판촉물관리,판촉물수정,판촉물 정보 수정,판촉물 정보 변경,Medium,디자인팀,,
81,명함첩관리,명함등록,명함 등록,명함 정보 등록,Medium,전체,,
82,명함첩관리,명함등록,수령자 명함 등록,물품 수령자 정보 저장,Medium,외부사용자,010001,
83,명함첩관리,명함등록,행사 주소 등록,자주 사용하는 행사 주소 저장,Medium,전체,010002,
84,명함첩관리,명함등록,행사 담당자 등록,자주 사용하는 담당자 정보 저장,Medium,전체,010003,
85,명함첩관리,명함조회,명함 목록 조회,저장된 명함 목록 확인,Medium,전체,,
86,명함첩관리,명함조회,명함 상세 조회,명함 상세 정보 확인,Medium,전체,,
87,명함첩관리,명함수정,명함 정보 수정,명함 정보 변경,Medium,전체,,
88,명함첩관리,명함삭제,명함 삭제,명함 정보 삭제,Low,전체,,
89,공지사항,공지등록,공지사항 등록,새로운 공지사항 작성,Medium,최고관리자,,
90,공지사항,공지조회,공지사항 목록 조회,공지사항 목록 확인,High,전체,,
91,공지사항,공지조회,공지사항 상세 조회,공지사항 상세 내용 확인,High,전체,,
92,공지사항,공지수정,공지사항 수정,공지사항 내용 변경,Medium,최고관리자,,
93,공지사항,공지삭제,공지사항 삭제,공지사항 삭제,Low,최고관리자,,
94,팝업관리,팝업등록,팝업 등록,웹/앱 팝업 등록,Medium,최고관리자,,
95,팝업관리,팝업등록,웹 팝업 이미지 업로드,웹용 팝업 이미지 업로드,Medium,최고관리자,,/upload/image/popup/web
96,팝업관리,팝업등록,앱 팝업 이미지 업로드,앱용 팝업 이미지 업로드,Medium,최고관리자,,/upload/image/popup/app
97,팝업관리,팝업조회,팝업 목록 조회,등록된 팝업 목록 확인,Medium,최고관리자,,
98,팝업관리,팝업수정,팝업 정보 수정,팝업 정보 변경,Medium,최고관리자,,
99,팝업관리,팝업삭제,팝업 삭제,팝업 삭제,Low,최고관리자,,
100,팝업관리,팝업노출,팝업 노출 설정,팝업 노출 기간 및 대상 설정,Medium,최고관리자,,
101,알림시스템,푸시알림,행사 상태 변경 푸시,행사 상태 변경 시 푸시 발송,High,외부사용자,,iOS/Android
102,알림시스템,푸시알림,주문 상태 변경 푸시,주문 상태 변경 시 푸시 발송,High,외부사용자,,iOS/Android
103,알림시스템,푸시알림,공지사항 푸시,새 공지사항 등록 시 푸시 발송,Medium,전체,,iOS/Android
104,알림시스템,푸시알림,재고 부족 푸시,재고 부족 시 푸시 발송,Medium,물류팀,,iOS/Android
105,알림시스템,SMS알림,행사 상태 변경 SMS,행사 상태 변경 시 SMS 발송,Medium,외부사용자,,현재 미사용
106,알림시스템,SMS알림,주문 상태 변경 SMS,주문 상태 변경 시 SMS 발송,Medium,외부사용자,,현재 미사용
107,알림시스템,이메일알림,행사 상태 변경 이메일,행사 상태 변경 시 이메일 발송,Low,외부사용자,,현재 미사용
108,알림시스템,이메일알림,주문 상태 변경 이메일,주문 상태 변경 시 이메일 발송,Low,외부사용자,,현재 미사용
109,알림시스템,수신설정,알림 수신 동의 설정,SMS/이메일/푸시 수신 동의 관리,Medium,전체,,비트 플래그 사용
110,보고서,행사보고서,행사 통계 보고서,행사 현황 통계 및 리포트,Medium,전시팀,,
111,보고서,재고보고서,재고 현황 보고서,재고 현황 통계 및 리포트,Medium,물류팀,,
112,보고서,주문보고서,주문 통계 보고서,주문 현황 통계 및 리포트,Medium,물류팀,,
113,보고서,엑셀다운로드,보고서 엑셀 다운로드,보고서 데이터 엑셀 다운로드,Medium,내부사용자,,
114,시스템설정,테마설정,UI 테마 변경,사용자별 테마 색상 선택,Low,전체,,8가지 테마
115,시스템설정,페이지설정,페이지뷰 설정,목록 페이지당 표시 개수 설정,Low,전체,,40/80/160/320
116,시스템설정,회사정보,회사 정보 관리,회사 기본 정보 관리,Medium,최고관리자,,
117,시스템설정,회사정보,회사 로고 업로드,회사 로고 이미지 업로드,Medium,최고관리자,,/upload/image/logo
118,시스템설정,회사정보,회사 엑셀 업로드,회사 정보 일괄 업로드,Low,최고관리자,,/upload/companyexcel
119,시스템설정,팀관리,팀 등록,회사 팀 등록 및 관리,Medium,최고관리자,,
120,시스템설정,팀관리,팀 정보 수정,팀 정보 변경,Medium,최고관리자,,
121,시스템설정,직무관리,직무 등록,직무 유형 등록 및 관리,Medium,최고관리자,,
122,시스템설정,직무관리,직무 정보 수정,직무 정보 변경,Medium,최고관리자,,
123,시스템설정,코드관리,공통 코드 관리,시스템 공통 코드 관리,Low,최고관리자,,
124,시스템설정,지역관리,지역 코드 관리,행사 지역 코드 관리,Low,최고관리자,,
125,API,인증API,로그인 API,모바일 앱 로그인 API,High,전체,,/api/login.php
126,API,행사API,행사 목록 API,행사 목록 조회 API,High,전체,,/api/event_list.php
127,API,행사API,행사 상세 API,행사 상세 조회 API,High,전체,,/api/event_view.php
128,API,행사API,행사 저장 API,행사 등록/수정 API,High,전체,,/api/event_save.php
129,API,행사API,행사 처리 API,행사 상태 변경 API,High,전시팀,,/api/event_process.php
130,API,행사API,내 행사 목록 API,본인 행사 목록 조회 API,High,외부사용자,,/api/my_event_list.php
131,API,물품API,물품 목록 API,물품 목록 조회 API,High,전체,,/api/product_list.php
132,API,주문API,주문 저장 API,주문 등록 API,High,외부사용자,,/api/order_save.php
133,API,주문API,주문 상세 API,주문 상세 조회 API,High,전체,,/api/order_view.php
134,API,주문API,내 주문 목록 API,본인 주문 목록 조회 API,High,외부사용자,,/api/my_order_list.php
135,API,부스API,부스 목록 API,부스 목록 조회 API,High,전체,,/api/booth_list.php
136,API,공통API,카테고리 목록 API,카테고리 목록 조회 API,Medium,전체,,/api/category_list.php
137,API,공통API,지역 목록 API,지역 목록 조회 API,Medium,전체,,/api/area_list.php
138,API,공통API,배송유형 목록 API,배송 유형 목록 조회 API,Medium,전체,,/api/shiptype_list.php
139,API,공지API,공지사항 목록 API,공지사항 목록 조회 API,Medium,전체,,/api/notice_list.php
140,API,공지API,공지사항 상세 API,공지사항 상세 조회 API,Medium,전체,,/api/notice_view.php
141,API,팝업API,팝업 목록 API,팝업 목록 조회 API,Medium,전체,,/api/popup_list.php
142,API,명함API,명함 목록 API,명함첩 목록 조회 API,Medium,전체,,/api/namecard_list.php
143,API,회원API,신청회원 목록 API,신청 회원 목록 조회 API,Medium,내부사용자,,/api/applymember_list.php
144,API,푸시API,푸시 발송 API,푸시 알림 발송 API,High,시스템,,/api/push.php
145,API,푸시API,iOS 푸시 API,iOS 푸시 발송 API,High,시스템,,/api/push_i.php
146,API,푸시API,Android 푸시 API,Android 푸시 발송 API,High,시스템,,/api/push_a.php
147,모바일,디바이스,디바이스 토큰 저장,푸시 알림용 디바이스 토큰 저장,High,전체,,로그인 시 저장
148,모바일,디바이스,디바이스 타입 저장,iOS/Android 디바이스 타입 저장,High,전체,,로그인 시 저장
149,모바일,디바이스,마지막 로그인 시간,마지막 로그인 시간 기록,Medium,전체,,로그인 시 업데이트
150,보안,암호화,비밀번호 암호화,AES 암호화로 비밀번호 저장,High,시스템,,MD5 키 사용
151,보안,세션,세션 관리,사용자 세션 생성 및 관리,High,시스템,,
152,보안,세션,로그인 체크,페이지 접근 시 로그인 여부 확인,High,시스템,,isLogin()
153,보안,접근제어,팀별 접근 제어,팀 코드 기반 페이지 접근 제어,High,시스템,,
154,보안,접근제어,삭제 사용자 차단,삭제된 사용자 로그인 차단,High,시스템,,IS_DEL 체크
155,보안,접근제어,비정규직 차단,비정규직 로그인 차단,Medium,시스템,,IS_OUTER 체크
156,로깅,API로깅,API 호출 로그,모든 API 호출 기록,Medium,시스템,,/upload/apilog
157,로깅,사용자로깅,사용자 액션 로그,모든 사용자 행동 기록,Medium,시스템,,tb_admin_log/tb_company_member_log
158,로깅,시스템로깅,시스템 로그,시스템 오류 및 이벤트 기록,Low,시스템,,
159,배포,CI/CD,자동 배포,GitLab CI를 통한 자동 배포,High,시스템,,FTP 배포
160,배포,CI/CD,배포 대상 디렉토리,common/event/order/popup/product 배포,High,시스템,,main 브랜치만
