카테고리,기능ID,기능명,상세설명,우선순위,구현상태,관련모델,관련라우트,비고
CMS-레슨,CMS-LESSON-009,시리즈 관리,레슨 시리즈 관리,Medium,구현완료,l_series,/cms/lesson,
CMS-레슨,CMS-LESSON-010,테마 관리,레슨 테마 관리,Medium,구현완료,l_thema,/cms/lesson,
CMS-레슨,CMS-LESSON-011,태그 관리,레슨 태그 관리,Low,구현완료,l_tag,/cms/lesson,
CMS-레슨,CMS-LESSON-012,제작자 관리,콘텐츠 제작자 정보 관리,Medium,구현완료,l_creator,/cms/lesson,

CMS-사용자,CMS-USER-001,회원 목록,전체 회원 목록 조회,High,구현완료,USER_INFO,/cms/user,
CMS-사용자,CMS-USER-002,회원 상세,회원 상세 정보 조회,High,구현완료,USER_INFO,/cms/user,
CMS-사용자,CMS-USER-003,회원 정보 수정,관리자가 회원 정보 수정,Medium,구현완료,USER_INFO,/cms/user,
CMS-사용자,CMS-USER-004,회원 삭제,회원 계정 삭제,Medium,구현완료,USER_INFO,/cms/user,
CMS-사용자,CMS-USER-005,회원 검색,조건별 회원 검색,High,구현완료,USER_INFO,/cms/user,
CMS-사용자,CMS-USER-006,학습 현황 조회,회원별 학습 현황 조회,Medium,구현완료,"history,user_lesson",/cms/user,
CMS-사용자,CMS-USER-007,구독 현황 조회,회원별 구독 상태 조회,High,구현완료,subscribe,/cms/user,
CMS-사용자,CMS-USER-008,관리자 계정 관리,관리자 계정 생성/수정,High,구현완료,user_admin,/cms/user,

CMS-게시판,CMS-BOARD-001,게시판 관리,게시판 생성/수정/삭제,Medium,구현완료,board,/cms/board,
CMS-게시판,CMS-BOARD-002,게시글 관리,게시글 수정/삭제,Medium,구현완료,board,/cms/board,
CMS-게시판,CMS-BOARD-003,댓글 관리,댓글 수정/삭제,Low,구현완료,board,/cms/board,

CMS-쇼핑,CMS-SHOP-001,상품 등록,새 구독 상품 등록,High,구현완료,product,/cms/shop,
CMS-쇼핑,CMS-SHOP-002,상품 수정,상품 정보 수정,High,구현완료,product,/cms/shop,
CMS-쇼핑,CMS-SHOP-003,상품 삭제,상품 삭제,Medium,구현완료,product,/cms/shop,
CMS-쇼핑,CMS-SHOP-004,주문 관리,주문 내역 조회 및 관리,High,구현완료,orders,/cms/shop,
CMS-쇼핑,CMS-SHOP-005,쿠폰 발급,할인 쿠폰 생성 및 발급,Medium,구현완료,coupon,/cms/shop,
CMS-쇼핑,CMS-SHOP-006,쿠폰 관리,쿠폰 목록 및 사용 현황,Medium,구현완료,coupon,/cms/shop,

CMS-퀴즈,CMS-QUIZ-001,퀴즈 등록,새 퀴즈 문제 등록,Medium,구현완료,l_choice,/cms/quiz,
CMS-퀴즈,CMS-QUIZ-002,퀴즈 수정,퀴즈 문제 수정,Medium,구현완료,l_choice,/cms/quiz,
CMS-퀴즈,CMS-QUIZ-003,퀴즈 삭제,퀴즈 문제 삭제,Medium,구현완료,l_choice,/cms/quiz,

CMS-시스템,CMS-MANAGE-001,배너 관리,메인 배너 등록/수정/삭제,Low,구현완료,banner,/cms/manage,
CMS-시스템,CMS-MANAGE-002,푸시 발송,전체/개별 푸시 알림 발송,Medium,구현완료,push,/cms/manage,
CMS-시스템,CMS-MANAGE-003,통계 조회,전체 서비스 통계 조회,High,구현완료,"tag_stat,log_user",/cms/manage,
CMS-시스템,CMS-MANAGE-004,시스템 설정,앱 설정 관리,Medium,구현완료,setting,/cms/manage,
CMS-시스템,CMS-MANAGE-005,로그 조회,사용자 활동 로그 조회,Medium,구현완료,log_user,/cms/manage,

API,API-001,레슨 API,레슨 데이터 API,High,구현완료,LESSON,/api,RESTful API
API,API-002,사용자 API,사용자 데이터 API,High,구현완료,USER_INFO,/api,RESTful API
API,API-003,학습 기록 API,학습 진행 데이터 API,High,구현완료,history,/api,RESTful API
API,API-004,구독 API,구독 정보 API,High,구현완료,subscribe,/api,RESTful API
API,API-005,통계 API,학습 통계 데이터 API,Medium,구현완료,tag_stat,/api,RESTful API
