대분류,중분류,소분류,기능ID,기능명,기능설명,우선순위,사용자역할,입력,출력,비고
연차관리,연차승인,연차반려,ANNUAL-010,연차 반려,팀장/관리자의 연차 반려,높음,"leader,admin","신청 내역 선택, 반려 사유",반려 완료,반려 사유 입력 필수
연차관리,연차승인,연차완료처리,ANNUAL-011,연차 완료 처리,승인된 연차의 완료 처리,중간,admin,신청 내역 선택,완료 처리,최종 완료 상태
연차관리,연차취소,연차취소,ANNUAL-012,연차 취소,사용자의 연차 신청 취소,중간,"user,leader",신청 내역 선택,취소 완료,승인 전에만 가능
연차관리,연차조회,내연차조회,ANNUAL-013,내 연차 조회,본인의 연차 신청 내역 조회,높음,"user,leader,admin",조회 요청,연차 신청 내역 목록,
연차관리,연차조회,팀연차조회,ANNUAL-014,팀 연차 조회,팀원들의 연차 현황 조회,높음,"leader,admin",팀 선택,팀 연차 현황,
연차관리,연차조회,전체연차조회,ANNUAL-015,전체 연차 조회,전체 직원 연차 현황 조회,중간,admin,조회 요청,전체 연차 현황,
연차관리,연차통계,연차사용통계,ANNUAL-016,연차 사용 통계,개인/팀/전체 연차 사용 통계,중간,"leader,admin",기간 선택,통계 차트 및 데이터,Chart.js 사용
연차관리,연차제한,팀과반수제한,ANNUAL-017,팀 과반수 제한,팀원 50% 이상 연차 시 신청 제한,높음,"user,leader",날짜 선택,제한 알림 또는 신청 허용,비즈니스 로직
캘린더,캘린더조회,통합캘린더,CAL-001,통합 캘린더 조회,연차/회의실/요가 일정 통합 표시,높음,"user,leader,admin",날짜 범위,캘린더 뷰,React Calendar 사용
캘린더,캘린더조회,연차일정표시,CAL-002,연차 일정 표시,캘린더에 연차 일정 표시,높음,"user,leader,admin",날짜 범위,연차 일정,색상 구분
캘린더,캘린더조회,회의실일정표시,CAL-003,회의실 예약 일정 표시,캘린더에 회의실 예약 일정 표시,중간,"user,leader,admin",날짜 범위,회의실 예약 일정,색상 구분
캘린더,캘린더조회,요가일정표시,CAL-004,요가 수업 일정 표시,캘린더에 요가 수업 일정 표시,중간,"user,leader,admin",날짜 범위,요가 수업 일정,색상 구분
캘린더,이벤트관리,이벤트색상구분,CAL-005,이벤트 색상 구분,이벤트 타입별 색상 구분 표시,낮음,"user,leader,admin",이벤트 타입,색상별 이벤트,"파랑, 초록, 보라, 주황, 핑크"
캘린더,이벤트관리,이벤트상세보기,CAL-006,이벤트 상세 보기,이벤트 클릭 시 상세 정보 표시,중간,"user,leader,admin",이벤트 선택,이벤트 상세 정보,우측 드로어 사용
회의실,회의실예약,회의실예약,MEET-001,회의실 예약,회의실 예약 신청,높음,"user,leader,admin","회의실 선택, 날짜, 시간, 목적",예약 완료,
회의실,회의실예약,회의실예약조회,MEET-002,회의실 예약 조회,회의실 예약 현황 조회,높음,"user,leader,admin","날짜, 회의실",예약 현황 목록,
회의실,회의실예약,회의실예약취소,MEET-003,회의실 예약 취소,본인의 회의실 예약 취소,중간,"user,leader,admin",예약 선택,취소 완료,
회의실,회의실관리,회의실목록관리,MEET-004,회의실 목록 관리,회의실 추가/수정/삭제,중간,admin,"회의실 정보",회의실 목록 업데이트,
회의실,회의실관리,회의실현황,MEET-005,회의실 사용 현황,회의실별 사용 통계,낮음,admin,기간 선택,사용 통계,
요가,요가예약,요가예약,YOGA-001,요가 수업 예약,요가 수업 예약,중간,"user,leader,admin","날짜, 시간 선택",예약 완료,
요가,요가예약,요가예약조회,YOGA-002,요가 예약 조회,본인의 요가 예약 내역 조회,중간,"user,leader,admin",조회 요청,예약 내역 목록,
요가,요가예약,요가예약취소,YOGA-003,요가 예약 취소,요가 예약 취소,중간,"user,leader,admin",예약 선택,취소 완료,
요가,요가관리,요가스케줄관리,YOGA-004,요가 스케줄 관리,요가 수업 일정 관리,중간,admin,"날짜, 시간, 정원",스케줄 등록,
요가,요가관리,요가예약현황,YOGA-005,요가 예약 현황,요가 수업별 예약 현황 조회,낮음,admin,수업 선택,예약자 목록,
대시보드,통계,연차통계,DASH-001,연차 사용 통계,개인/팀 연차 사용 현황 통계,높음,"user,leader,admin",기간 선택,통계 차트,Chart.js 사용
대시보드,통계,경비통계,DASH-002,경비 사용 통계,개인/팀 경비 사용 현황 통계,중간,"leader,admin",기간 선택,통계 차트,Chart.js 사용
대시보드,통계,주요지표,DASH-003,주요 지표 표시,대시보드 주요 KPI 표시,중간,"leader,admin",조회 요청,KPI 카드,"잔여 연차, 사용 경비 등"
대시보드,차트,차트시각화,DASH-004,차트 시각화,다양한 차트를 통한 데이터 시각화,중간,"leader,admin","데이터, 차트 타입",차트 표시,"라인, 바, 파이 차트 등"
대시보드,알림,알림표시,DASH-005,알림 표시,승인 대기/완료 등 알림 표시,높음,"user,leader,admin",알림 조회,알림 목록,React Notifications 사용
경비관리,경비신청,경비신청,EXP-001,경비 신청,경비 지출 신청,높음,"user,leader","날짜, 금액, 항목, 사유",경비 신청 완료,
경비관리,경비신청,영수증첨부,EXP-002,영수증 첨부,경비 신청 시 영수증 파일 첨부,높음,"user,leader",파일 업로드,파일 첨부 완료,FilePond 사용
경비관리,경비승인,경비승인,EXP-003,경비 승인,경비 신청 승인,높음,"leader,admin",신청 내역 선택,승인 완료,
경비관리,경비승인,경비반려,EXP-004,경비 반려,경비 신청 반려,높음,"leader,admin","신청 내역 선택, 반려 사유",반려 완료,
경비관리,경비조회,내경비조회,EXP-005,내 경비 조회,본인의 경비 신청 내역 조회,높음,"user,leader,admin",조회 요청,경비 내역 목록,
경비관리,경비조회,팀경비조회,EXP-006,팀 경비 조회,팀원들의 경비 내역 조회,중간,"leader,admin",팀 선택,팀 경비 내역,
경비관리,경비조회,전체경비조회,EXP-007,전체 경비 조회,전체 경비 내역 조회,중간,admin,조회 요청,전체 경비 내역,
경비관리,경비관리,경비목록,EXP-008,경비 목록 관리,경비 내역 목록 관리,중간,"leader,admin","필터, 정렬",경비 목록,
경비관리,경비관리,CSV내보내기,EXP-009,경비 CSV 내보내기,경비 내역 CSV 파일 다운로드,중간,"leader,admin",내보내기 요청,CSV 파일,React CSV 사용
사용자관리,사용자,사용자목록,USER-001,사용자 목록 조회,전체 사용자 목록 조회,높음,admin,"필터, 검색",사용자 목록,
사용자관리,사용자,사용자추가,USER-002,사용자 추가,새로운 사용자 추가,높음,admin,"사용자 정보, 역할, 부서, 팀",사용자 생성 완료,
사용자관리,사용자,사용자수정,USER-003,사용자 정보 수정,사용자 정보 수정,중간,admin,"사용자 선택, 수정 정보",수정 완료,
사용자관리,사용자,사용자삭제,USER-004,사용자 삭제,사용자 삭제,중간,admin,사용자 선택,삭제 완료,
사용자관리,사용자,사용자상세,USER-005,사용자 상세 정보,사용자 상세 정보 조회,중간,admin,사용자 선택,상세 정보,모달로 표시
사용자관리,부서,부서목록,DEPT-001,부서 목록 조회,전체 부서 목록 조회,중간,admin,조회 요청,부서 목록,
사용자관리,부서,부서추가,DEPT-002,부서 추가,새로운 부서 추가,중간,admin,부서 정보,부서 생성 완료,
사용자관리,부서,부서수정,DEPT-003,부서 정보 수정,부서 정보 수정,낮음,admin,"부서 선택, 수정 정보",수정 완료,
사용자관리,부서,부서삭제,DEPT-004,부서 삭제,부서 삭제,낮음,admin,부서 선택,삭제 완료,
사용자관리,팀,팀목록,TEAM-001,팀 목록 조회,전체 팀 목록 조회,중간,admin,조회 요청,팀 목록,
사용자관리,팀,팀추가,TEAM-002,팀 추가,새로운 팀 추가,중간,admin,"팀 정보, 부서 선택",팀 생성 완료,
사용자관리,팀,팀수정,TEAM-003,팀 정보 수정,팀 정보 수정,낮음,admin,"팀 선택, 수정 정보",수정 완료,
사용자관리,팀,팀삭제,TEAM-004,팀 삭제,팀 삭제,낮음,admin,팀 선택,삭제 완료,
프로필,프로필조회,프로필조회,PROF-001,프로필 조회,본인의 프로필 정보 조회,높음,"user,leader,admin",조회 요청,프로필 정보,
프로필,프로필수정,프로필수정,PROF-002,프로필 수정,본인의 프로필 정보 수정,높음,"user,leader,admin",수정 정보,수정 완료,
프로필,프로필수정,프로필사진변경,PROF-003,프로필 사진 변경,프로필 사진 업로드 및 변경,중간,"user,leader,admin",이미지 파일,사진 변경 완료,FilePond 사용
프로필,프로필수정,비밀번호변경,PROF-004,비밀번호 변경,본인의 비밀번호 변경,높음,"user,leader,admin","현재 비밀번호, 새 비밀번호",변경 완료,
설정,테마,테마변경,SET-001,테마 변경,라이트/다크 모드 전환,중간,"user,leader,admin",테마 선택,테마 적용,Theme Change 라이브러리 사용
설정,알림,알림설정,SET-002,알림 설정,알림 수신 설정,낮음,"user,leader,admin",알림 옵션,설정 저장,
설정,언어,언어설정,SET-003,언어 설정,인터페이스 언어 설정,낮음,"user,leader,admin",언어 선택,언어 적용,다국어 지원 시
통합,데이터,데이터내보내기,INT-001,데이터 내보내기,각종 데이터 CSV 내보내기,중간,"leader,admin","데이터 타입, 기간",CSV 파일,React CSV 사용
통합,API,외부API연동,INT-002,외부 API 연동,외부 시스템과의 API 연동,낮음,admin,API 설정,연동 완료,확장 기능
리스트,리스트조회,리스트조회,LIST-001,리스트 조회,각종 데이터 리스트 조회,중간,"user,leader,admin","필터, 정렬, 검색",리스트 데이터,
리스트,리스트조회,필터링,LIST-002,리스트 필터링,조건별 데이터 필터링,중간,"user,leader,admin",필터 조건,필터링된 리스트,
리스트,리스트조회,정렬,LIST-003,리스트 정렬,컬럼별 정렬 기능,낮음,"user,leader,admin",정렬 기준,정렬된 리스트,
리스트,리스트조회,검색,LIST-004,리스트 검색,키워드 검색 기능,중간,"user,leader,admin",검색어,검색 결과,
리스트,리스트조회,페이지네이션,LIST-005,페이지네이션,리스트 페이지 분할,낮음,"user,leader,admin",페이지 번호,해당 페이지 데이터,
트랜잭션,트랜잭션조회,트랜잭션조회,TRANS-001,트랜잭션 조회,시스템 트랜잭션 내역 조회,낮음,admin,"기간, 타입",트랜잭션 목록,
트랜잭션,트랜잭션조회,트랜잭션상세,TRANS-002,트랜잭션 상세,트랜잭션 상세 정보 조회,낮음,admin,트랜잭션 선택,상세 정보,
차트,차트조회,차트조회,CHART-001,차트 조회,각종 통계 차트 조회,중간,"leader,admin","데이터 타입, 기간",차트 표시,Chart.js 사용
차트,차트조회,차트타입선택,CHART-002,차트 타입 선택,차트 타입 변경 기능,낮음,"leader,admin",차트 타입,선택된 타입의 차트,"라인, 바, 파이 등"
공통,모달,모달관리,COM-001,모달 관리,각종 모달 표시 및 관리,높음,"user,leader,admin",모달 타입,모달 표시,Redux로 상태 관리
공통,드로어,우측드로어,COM-002,우측 드로어,우측 드로어 표시 및 관리,중간,"user,leader,admin",드로어 타입,드로어 표시,알림/캘린더 이벤트 등
공통,알림,알림시스템,COM-003,알림 시스템,시스템 알림 표시,높음,"user,leader,admin",알림 메시지,알림 표시,React Notifications 사용
공통,로딩,로딩상태,COM-004,로딩 상태 표시,데이터 로딩 중 표시,중간,"user,leader,admin",로딩 상태,로딩 인디케이터,
공통,에러,에러처리,COM-005,에러 처리,에러 발생 시 처리 및 표시,높음,"user,leader,admin",에러 정보,에러 메시지,에러 바운더리
공통,파일업로드,파일업로드,COM-006,파일 업로드,파일 업로드 기능,중간,"user,leader,admin",파일,업로드 완료,FilePond 사용
공통,파일업로드,이미지크롭,COM-007,이미지 크롭,이미지 크롭 기능,낮음,"user,leader,admin",이미지 파일,크롭된 이미지,FilePond 플러그인
공통,파일업로드,이미지리사이즈,COM-008,이미지 리사이즈,이미지 리사이즈 기능,낮음,"user,leader,admin",이미지 파일,리사이즈된 이미지,FilePond 플러그인
공통,색상,색상선택,COM-009,색상 선택,색상 선택 기능,낮음,admin,색상 선택,선택된 색상,React Color 사용
공통,날짜,날짜선택,COM-010,날짜 선택,날짜 선택 기능,높음,"user,leader,admin",날짜 선택,선택된 날짜,React Datepicker 사용
공통,날짜,날짜범위선택,COM-011,날짜 범위 선택,시작일-종료일 범위 선택,중간,"user,leader,admin",날짜 범위,선택된 날짜 범위,React Datepicker 사용
