번호,카테고리,우선순위,기능명,현재상태,상세설명,예상공수(일),담당자,비고
30,데이터분석,낮음,평점 예측 모델,미구현,리뷰 텍스트 기반 평점 예측 ML 모델,10,데이터팀,Phase 4
31,시각화,중간,대시보드 구축,미구현,"Streamlit 기반 실시간 대시보드 (리뷰 추이, 평점 분포)",5,개발팀,Phase 3
32,시각화,낮음,리포트 자동 생성,미구현,주간/월간 리포트 PDF 자동 생성 및 이메일 발송,3,개발팀,Phase 3
33,시각화,낮음,워드클라우드,미구현,리뷰 키워드 시각화,1,개발팀,Phase 3
34,API,중간,RESTful API 서버,미구현,FastAPI 기반 데이터 조회/통계 API,7,개발팀,Phase 4
35,API,낮음,API 문서화,미구현,Swagger/OpenAPI 자동 문서 생성,1,개발팀,Phase 4
36,API,낮음,API 인증,미구현,JWT 기반 API 인증 시스템,3,개발팀,Phase 4
37,성능,중간,비동기 처리,미구현,asyncio/aiohttp를 활용한 비동기 크롤링,5,개발팀,Phase 4
38,성능,중간,분산 크롤링,미구현,Celery를 활용한 분산 작업 처리,7,개발팀,Phase 4
39,성능,낮음,캐싱 시스템,미구현,Redis를 활용한 중복 요청 캐싱,3,개발팀,Phase 4
40,성능,낮음,데이터베이스 인덱싱,미구현,"자주 조회되는 컬럼(productNo, createDate) 인덱스 추가",1,개발팀,성능 최적화
41,테스트,높음,단위 테스트,미구현,pytest 기반 핵심 함수 단위 테스트,5,개발팀,코드 품질
42,테스트,중간,통합 테스트,미구현,전체 크롤링 프로세스 통합 테스트,3,개발팀,코드 품질
43,테스트,낮음,성능 테스트,미구현,대량 데이터 수집 시 성능 측정 및 병목 지점 파악,2,개발팀,Phase 4
44,배포,중간,Docker 컨테이너화,미구현,Dockerfile 작성 및 Docker Compose 설정,3,DevOps,배포 자동화
45,배포,중간,CI/CD 파이프라인,미구현,GitHub Actions를 통한 자동 테스트 및 배포,3,DevOps,배포 자동화
46,배포,낮음,모니터링 시스템,미구현,"Prometheus + Grafana 모니터링 대시보드",5,DevOps,Phase 4
47,문서화,중간,코드 주석 추가,미구현,함수/클래스별 docstring 작성,2,개발팀,유지보수성
48,문서화,중간,README 작성,미구현,"설치 방법, 실행 방법, 환경 설정 가이드",1,개발팀,즉시 작성
49,문서화,낮음,API 문서,미구현,데이터베이스 스키마 및 API 엔드포인트 문서,2,개발팀,Phase 4
50,문서화,낮음,아키텍처 다이어그램,미구현,시스템 구조도 및 데이터 플로우 다이어그램,1,개발팀,Phase 2
51,법률,긴급,이용약관 검토,미구현,네이버 스마트스토어 크롤링 관련 법적 검토,0,법무팀,즉시 확인 필요
52,법률,긴급,개인정보 처리방침,미구현,수집된 개인정보(마스킹된 ID) 처리 방침 수립,0,법무팀,즉시 확인 필요
53,법률,높음,robots.txt 준수,미구현,네이버 robots.txt 확인 및 준수 여부 검토,0.5,개발팀,법적 리스크 관리
54,설정,높음,설정 파일 분리,미구현,"config.yaml 또는 config.json으로 설정 관리",2,개발팀,유지보수성
55,설정,중간,다중 환경 지원,미구현,"개발/스테이징/프로덕션 환경별 설정 분리",1,개발팀,배포 관리
56,알림,중간,수집 완료 알림,미구현,크롤링 완료 시 Slack/Email 알림,2,개발팀,모니터링
57,알림,낮음,일일 리포트 발송,미구현,수집 통계 일일 리포트 자동 발송,2,개발팀,Phase 3
58,데이터품질,중간,데이터 무결성 체크,미구현,필수 필드 누락 체크 및 경고,2,개발팀,데이터 품질
59,데이터품질,낮음,중복 데이터 정리,미구현,주기적 중복 데이터 탐지 및 정리,2,개발팀,데이터베이스 관리
60,확장성,낮음,다른 쇼핑몰 지원,미구현,"쿠팡, 11번가 등 다른 플랫폼 크롤링 지원",15,개발팀,Phase 4
