카테고리,기능ID,기능명,상세설명,우선순위,현재상태,담당영역,관련페이지
API,API-001,AJAX 통신,비동기 데이터 통신 처리,High,구현완료,Backend,/API/_ajax.html
API,API-002,로그인 API,로그인 요청 처리,High,구현완료,Backend,/API/_bd_login.html
API,API-003,구독 API,구독 관련 요청 처리,High,구현완료,Backend,/API/_subscribe.html
API,API-004,기본 API,기본 데이터 CRUD,High,구현완료,Backend,/API/basic_bin.html
API,API-005,피드백 API,사용자 피드백 수집,Medium,구현완료,Backend,/API/feedback_bin.html
공통기능,COMMON-001,헤더 네비게이션,전체 페이지 공통 헤더,High,구현완료,Frontend,/_top.html
공통기능,COMMON-002,푸터,전체 페이지 공통 푸터,Medium,구현완료,Frontend,/_footer.html
공통기능,COMMON-003,레이아웃 시스템,PHP 템플릿 기반 레이아웃,High,구현완료,Backend,/_layout_renew2_main.html
공통기능,COMMON-004,에러 처리,에러 페이지 표시,Medium,구현완료,Frontend,/Common/_err.html
공통기능,COMMON-005,데이터베이스 연결,MySQL 데이터베이스 연결 관리,High,구현완료,Backend,/Common/page_s_db.html
공통기능,COMMON-006,공통 함수,재사용 가능한 유틸리티 함수,High,구현완료,Backend,/Common/page_s_fn.html
공통기능,COMMON-007,파일 업로드,이미지/파일 업로드 처리,Medium,구현완료,Backend,/Common/Upload/
공통기능,COMMON-008,반응형 디자인,모바일/데스크톱 최적화,High,구현완료,Frontend,전체
공통기능,COMMON-009,SEO 설정,검색엔진 최적화 설정,Medium,구현완료,Frontend,robots.txt
모바일앱,APP-001,iOS 앱 연동,iOS 앱에서 웹뷰 연동,High,구현완료,Mobile,index.html (OS 감지)
모바일앱,APP-002,Android 앱 연동,Android 앱에서 웹뷰 연동,High,구임완료,Mobile,index.html (OS 감지)
모바일앱,APP-003,앱 자동 리다이렉트,앱 접속 시 자동 페이지 이동,Medium,구현완료,Backend,index.html
모바일앱,APP-004,앱스토어 링크,iOS/Android 앱 다운로드 링크,High,구현완료,Frontend,index.html (섹션8)
고객지원,CS-001,개인정보처리방침,개인정보 보호 정책 안내,High,구현완료,Frontend,/Customer/Privacy.html
고객지원,CS-002,이용약관,서비스 이용 약관 안내,High,구현완료,Frontend,/Customer/Terms.html
고객지원,CS-003,피드백 수집,사용자 의견 수집,Medium,구현완료,Backend,/API/feedback_bin.html
보안,SEC-001,세션 보안,세션 하이재킹 방지,High,구현완료,Backend,Backend
보안,SEC-002,SQL Injection 방지,데이터베이스 쿼리 보안,High,구현완료,Backend,Backend
보안,SEC-003,XSS 방지,크로스 사이트 스크립팅 방지,High,구현완료,Backend,Backend
보안,SEC-004,HTTPS 적용,SSL/TLS 암호화 통신,High,구현완료,Infrastructure,전체
성능,PERF-001,이미지 최적화,이미지 압축 및 lazy loading,Medium,개선필요,Frontend,전체
성능,PERF-002,비디오 최적화,비디오 스트리밍 최적화,Medium,개선필요,Frontend,index.html
성능,PERF-003,코드 번들링,JavaScript/CSS 번들 최적화,Medium,개선필요,Frontend,전체
성능,PERF-004,CDN 적용,정적 리소스 CDN 배포,Low,개선필요,Infrastructure,전체
성능,PERF-005,캐싱 전략,브라우저/서버 캐싱 최적화,Medium,개선필요,Backend,전체
분석,ANALYTICS-001,사용자 행동 분석,학습 패턴 및 사용자 행동 추적,Medium,개선필요,Backend,전체
분석,ANALYTICS-002,학습 효과 측정,학습 성과 데이터 수집 및 분석,Medium,개선필요,Backend,전체
분석,ANALYTICS-003,전환율 추적,무료체험→유료전환 추적,High,개선필요,Backend,전체
테스트,TEST-001,단위 테스트,개별 함수/모듈 테스트,Medium,미구현,Backend,전체
테스트,TEST-002,통합 테스트,시스템 통합 테스트,Medium,미구현,Backend,전체
테스트,TEST-003,E2E 테스트,사용자 시나리오 테스트,Low,미구현,Frontend,전체
문서화,DOC-001,API 문서,API 엔드포인트 문서화,Medium,미구현,Documentation,전체
문서화,DOC-002,코드 주석,코드 내 주석 작성,Low,개선필요,Development,전체
문서화,DOC-003,개발자 가이드,개발 환경 설정 가이드,Medium,미구현,Documentation,전체
