대분류,중분류,기능ID,기능명,상세설명,우선순위,구현위치,관련파일,입력,출력,비고
블록체인 관리,체인 상태,CHAIN-001,체인 동기화,"네트워크로부터 블록체인 동기화",높음,src/validation.cpp,"validation.cpp, net_processing.cpp","피어 정보, 블록 헤더","동기화 진행 상태, 현재 블록 높이","IBD(Initial Block Download) 모드"
블록체인 관리,체인 상태,CHAIN-002,체인 재구성,"더 긴 체인으로 재구성 (Reorg)",높음,src/validation.cpp,validation.cpp,"새로운 체인 정보, 현재 체인 상태","재구성된 체인 정보, 롤백된 블록","Orphan 블록 처리"
블록체인 관리,체인 상태,CHAIN-003,체인 팁 관리,"현재 체인의 최상위 블록 관리",높음,src/chain.cpp,"chain.cpp, chain.h",블록 인덱스,체인 팁 정보,"여러 체인 팁 추적 가능"
블록체인 관리,체인 상태,CHAIN-004,UTXO 관리,"사용 가능한 트랜잭션 출력 관리",높음,src/coins.cpp,"coins.cpp, coins.h","트랜잭션 입력/출력, UTXO 세트","업데이트된 UTXO 세트, 잔액 정보","메모리 캐시 + 디스크 저장"
블록체인 관리,체인 상태,CHAIN-005,체인파라미터 설정,"메인넷, 테스트넷, 시그넷 등 네트워크 설정",높음,src/chainparams.cpp,"chainparams.cpp, chainparams.h",네트워크 타입,네트워크별 파라미터,"제네시스 블록, 난이도 등 설정"
트랜잭션 처리,트랜잭션 검증,TX-001,트랜잭션 검증,"트랜잭션 유효성 검증 (서명, 스크립트 등)",높음,src/validation.cpp,"validation.cpp, consensus/tx_verify.cpp","트랜잭션 데이터, UTXO 정보","검증 결과, 오류 정보","스크립트 실행 및 서명 검증"
트랜잭션 처리,트랜잭션 검증,TX-002,스크립트 해석,"비트코인 스크립트 실행 및 해석",높음,src/script/interpreter.cpp,"script/interpreter.cpp, script/interpreter.h","스크립트 데이터, 스택 상태","실행 결과, 스택 상태","P2PKH, P2SH, SegWit 지원"
트랜잭션 처리,트랜잭션 검증,TX-003,서명 검증,"ECDSA/Schnorr 서명 검증",높음,src/script/interpreter.cpp,"script/interpreter.cpp, pubkey.cpp","서명 데이터, 공개키, 메시지",검증 성공/실패,"secp256k1 라이브러리 사용"
트랜잭션 처리,트랜잭션 검증,TX-004,수수료 검증,"트랜잭션 수수료 계산 및 검증",높음,src/validation.cpp,"validation.cpp, policy/policy.cpp","트랜잭션 입력/출력, 수수료율","계산된 수수료, 검증 결과","최소 수수료 확인"
트랜잭션 처리,트랜잭션 검증,TX-005,중복 지출 방지,"이중 지불 시도 감지 및 방지",높음,src/validation.cpp,"validation.cpp, txmempool.cpp","트랜잭션 입력, UTXO 세트",검증 결과,"mempool 및 블록체인 확인"
트랜잭션 처리,메모리 풀,MEMPOOL-001,트랜잭션 추가,"검증된 트랜잭션을 메모리 풀에 추가",높음,src/txmempool.cpp,"txmempool.cpp, txmempool.h","트랜잭션 데이터, 수수료 정보","추가 성공/실패, mempool 상태","우선순위 관리"
트랜잭션 처리,메모리 풀,MEMPOOL-002,트랜잭션 제거,"블록 포함 또는 만료된 트랜잭션 제거",중간,src/txmempool.cpp,txmempool.cpp,"트랜잭션 ID, 제거 이유",업데이트된 mempool,"패키지 제거 지원"
트랜잭션 처리,메모리 풀,MEMPOOL-003,수수료 추정,"네트워크 상태 기반 수수료 추정",중간,src/policy/fees.cpp,"policy/fees.cpp, policy/fees.h","목표 확인 블록 수, 히스토리 데이터",추정 수수료율,"통계 기반 예측"
트랜잭션 처리,메모리 풀,MEMPOOL-004,mempool 영속화,"mempool 상태를 디스크에 저장/복원",낮음,src/node/mempool_persist.cpp,"node/mempool_persist.cpp, node/mempool_persist.h","mempool 데이터, 파일 경로","저장/복원 성공 여부","재시작 시 복원"
트랜잭션 처리,메모리 풀,MEMPOOL-005,RBF 처리,"Replace-By-Fee 트랜잭션 교체",중간,src/policy/rbf.cpp,"policy/rbf.cpp, policy/rbf.h","원본 트랜잭션, 교체 트랜잭션","교체 성공/실패, 수수료 차이","BIP 125 구현"
네트워킹,P2P 통신,NET-001,피어 연결,"다른 노드와 P2P 연결 수립",높음,src/net.cpp,"net.cpp, net.h","피어 주소, 포트 번호","연결 상태, 소켓 정보","IPv4/IPv6/Tor/I2P 지원"
네트워킹,P2P 통신,NET-002,피어 검색,"DNS Seeds 및 피어 교환으로 피어 검색",높음,src/net.cpp,"net.cpp, addrman.cpp","DNS Seeds, 피어 정보",검색된 피어 목록,"ADDR 메시지 처리"
네트워킹,P2P 통신,NET-003,메시지 송수신,"P2P 프로토콜 메시지 송수신",높음,src/net.cpp,"net.cpp, net_processing.cpp","메시지 타입, 메시지 데이터","처리 결과, 응답 메시지","비동기 처리"
네트워킹,P2P 통신,NET-004,피어 관리,"활성 피어 관리 및 모니터링",중간,src/net.cpp,"net.cpp, addrman.cpp",피어 상태 정보,"관리된 피어 목록, 통계","자동 연결/해제"
네트워킹,P2P 통신,NET-005,대역폭 관리,"네트워크 대역폭 제한 및 관리",낮음,src/net.cpp,net.cpp,"대역폭 제한 설정, 트래픽 정보",현재 사용량,"업로드/다운로드 제한"
네트워킹,메시지 처리,NETMSG-001,블록 메시지 처리,"BLOCK 메시지 수신 및 처리",높음,src/net_processing.cpp,net_processing.cpp,"블록 메시지, 피어 정보",처리 결과,"Compact Block 지원"
네트워킹,메시지 처리,NETMSG-002,트랜잭션 메시지 처리,"TX 메시지 수신 및 처리",높음,src/net_processing.cpp,net_processing.cpp,"트랜잭션 메시지, 피어 정보",처리 결과,"mempool에 추가"
네트워킹,메시지 처리,NETMSG-003,인벤토리 메시지 처리,"INV 메시지로 데이터 가용성 알림",중간,src/net_processing.cpp,net_processing.cpp,"인벤토리 메시지, 피어 정보",요청할 데이터 목록,"블록/트랜잭션 전파"
네트워킹,메시지 처리,NETMSG-004,핑/퐁 처리,"연결 유지 및 지연 시간 측정",낮음,src/net_processing.cpp,net_processing.cpp,"PING/PONG 메시지, 타임스탬프",왕복 시간,"연결 상태 확인"
네트워킹,메시지 처리,NETMSG-005,버전 협상,"프로토콜 버전 협상 및 핸드셰이크",높음,src/net_processing.cpp,net_processing.cpp,"VERSION 메시지, 노드 정보",협상된 프로토콜 버전,"연결 초기화"
네트워킹,보안,NETSEC-001,BAN 관리,"악의적 피어 차단 및 관리",중간,src/banman.cpp,"banman.cpp, banman.h","피어 주소, BAN 이유",BAN 목록,"자동/수동 BAN"
네트워킹,보안,NETSEC-002,DoS 방어,"서비스 거부 공격 방어",높음,src/net_processing.cpp,net_processing.cpp,"메시지 빈도, 피어 행동",방어 조치,"Rate limiting"
네트워킹,보안,NETSEC-003,암호화 통신,"BIP324 v2 암호화 전송 프로토콜",중간,src/bip324.cpp,"bip324.cpp, bip324.h","암호화 키, 메시지","암호화된 메시지, 복호화된 메시지","선택적 암호화"
네트워킹,보안,NETSEC-004,피어 검증,"피어의 신뢰성 평가 및 점수 부여",중간,src/net_processing.cpp,net_processing.cpp,피어 행동 데이터,피어 점수,"불량 행위 감지"
네트워킹,프라이버시,NETPRIV-001,Tor 지원,"Tor 네트워크를 통한 익명 연결",중간,src/torcontrol.cpp,"torcontrol.cpp, torcontrol.h","Tor 설정, 프록시 정보",Tor 연결 상태,"Onion 주소 지원"
네트워킹,프라이버시,NETPRIV-002,I2P 지원,"I2P 네트워크를 통한 익명 연결",낮음,src/i2p.cpp,"i2p.cpp, i2p.h","I2P 설정, SAM 프록시",I2P 연결 상태,"I2P 주소 지원"
지갑,키 관리,WALLET-001,키 생성,"개인키/공개키 쌍 생성",높음,src/key.cpp,"key.cpp, key.h",엔트로피,"개인키, 공개키","secp256k1 곡선"
지갑,키 관리,WALLET-002,HD 지갑,"계층적 결정론적 지갑 (BIP32)",높음,src/wallet/wallet.cpp,"wallet/wallet.cpp, key.cpp","마스터 시드, 파생 경로",파생 키,"BIP32/BIP44 지원"
지갑,키 관리,WALLET-003,니모닉,"BIP39 니모닉 단어로부터 시드 생성",중간,src/wallet/wallet.cpp,wallet/wallet.cpp,"니모닉 단어, 패스프레이즈",마스터 시드,"12/24 단어 지원"
지갑,키 관리,WALLET-004,키 암호화,"지갑 키를 암호화하여 보호",높음,src/wallet/crypter.cpp,"wallet/crypter.cpp, wallet/crypter.h","비밀번호, 개인키",암호화된 키,"AES-256-CBC 사용"
지갑,키 관리,WALLET-005,키 가져오기/내보내기,"개인키 또는 공개키 가져오기/내보내기",중간,src/wallet/wallet.cpp,wallet/wallet.cpp,"키 데이터, 형식",가져온/내보낸 키,"WIF 형식 지원"
지갑,주소 관리,ADDR-001,주소 생성,"비트코인 주소 생성 (P2PKH, P2SH, Bech32)",높음,src/key_io.cpp,"key_io.cpp, key_io.h","공개키, 주소 타입",비트코인 주소,"SegWit 주소 지원"
지갑,주소 관리,ADDR-002,주소 검증,"비트코인 주소 유효성 검증",높음,src/key_io.cpp,key_io.cpp,비트코인 주소,"검증 결과, 주소 타입","체크섬 검증"
지갑,주소 관리,ADDR-003,디스크립터,"출력 디스크립터 (BIP380)",높음,src/script/descriptor.cpp,"script/descriptor.cpp, script/descriptor.h",디스크립터 문자열,"파싱된 디스크립터, 주소","유연한 주소 생성"
지갑,주소 관리,ADDR-004,주소북 관리,"주소에 라벨 및 메모 추가",낮음,src/wallet/wallet.cpp,wallet/wallet.cpp,"주소, 라벨",업데이트된 주소북,"사용자 편의 기능"
지갑,트랜잭션,WALTX-001,트랜잭션 생성,"새로운 트랜잭션 구성",높음,src/wallet/wallet.cpp,"wallet/wallet.cpp, wallet/spend.cpp","수신자, 금액, 수수료",생성된 트랜잭션,"코인 선택 알고리즘"
지갑,트랜잭션,WALTX-002,트랜잭션 서명,"트랜잭션에 서명 추가",높음,src/wallet/wallet.cpp,"wallet/wallet.cpp, script/sign.cpp","트랜잭션, 개인키",서명된 트랜잭션,"다중 서명 지원"
지갑,트랜잭션,WALTX-003,트랜잭션 브로드캐스트,"트랜잭션을 네트워크에 전송",높음,src/wallet/wallet.cpp,wallet/wallet.cpp,서명된 트랜잭션,"전송 결과, 트랜잭션 ID","mempool에 추가"
지갑,트랜잭션,WALTX-004,PSBT 지원,"부분 서명 트랜잭션 (BIP174)",중간,src/psbt.cpp,"psbt.cpp, psbt.h, node/psbt.cpp","PSBT 데이터, 서명",업데이트된 PSBT,"다중 서명자 협업"
지갑,트랜잭션,WALTX-005,코인 선택,"UTXO 선택 알고리즘",높음,src/wallet/coinselection.cpp,"wallet/coinselection.cpp, wallet/coinselection.h","UTXO 세트, 목표 금액",선택된 UTXO,"여러 알고리즘 지원"
지갑,잔액,BALANCE-001,잔액 조회,"지갑의 현재 잔액 조회",높음,src/wallet/wallet.cpp,wallet/wallet.cpp,지갑 정보,"확인된 잔액, 미확인 잔액","UTXO 기반 계산"
지갑,잔액,BALANCE-002,트랜잭션 히스토리,"지갑의 트랜잭션 내역 조회",중간,src/wallet/wallet.cpp,wallet/wallet.cpp,"지갑 정보, 필터 조건",트랜잭션 목록,"송신/수신 구분"
지갑,잔액,BALANCE-003,UTXO 조회,"지갑이 소유한 UTXO 목록",중간,src/wallet/wallet.cpp,wallet/wallet.cpp,지갑 정보,UTXO 목록,"금액 및 확인 수"
지갑,데이터베이스,WALLETDB-001,SQLite 지갑,"SQLite 기반 지갑 저장소",높음,src/wallet/sqlite.cpp,"wallet/sqlite.cpp, wallet/sqlite.h","지갑 데이터, 쿼리",데이터베이스 결과,"디스크립터 지갑 기본"
지갑,데이터베이스,WALLETDB-002,BDB 지갑,"Berkeley DB 기반 레거시 지갑",낮음,src/wallet/bdb.cpp,"wallet/bdb.cpp, wallet/bdb.h","지갑 데이터, 쿼리",데이터베이스 결과,"레거시 지원"
지갑,데이터베이스,WALLETDB-003,지갑 백업,"지갑 데이터 백업 및 복원",중간,src/wallet/wallet.cpp,wallet/wallet.cpp,"지갑 경로, 백업 경로",백업 파일,"자동 백업 지원"
지갑,데이터베이스,WALLETDB-004,지갑 마이그레이션,"레거시 지갑을 디스크립터 지갑으로 마이그레이션",중간,src/wallet/migrate.cpp,"wallet/migrate.cpp, wallet/migrate.h",레거시 지갑 데이터,디스크립터 지갑,"BDB -> SQLite"
마이닝,블록 생성,MINE-001,블록 템플릿 생성,"새로운 블록 템플릿 생성",높음,src/node/miner.cpp,"node/miner.cpp, node/miner.h","mempool, 수수료 전략",블록 템플릿,"트랜잭션 선택"
마이닝,블록 생성,MINE-002,코인베이스 생성,"블록 보상 트랜잭션 생성",높음,src/node/miner.cpp,node/miner.cpp,"블록 높이, 수수료 총합",코인베이스 트랜잭션,"보상 + 수수료"
마이닝,블록 생성,MINE-003,머클루트 계산,"블록의 머클루트 계산",높음,src/consensus/merkle.cpp,"consensus/merkle.cpp, consensus/merkle.h",트랜잭션 목록,머클루트 해시,"효율적인 검증"
마이닝,작업증명,POW-001,난이도 계산,"다음 블록의 난이도 계산",높음,src/pow.cpp,"pow.cpp, pow.h","이전 블록들, 타임스탬프",목표 난이도,"2016 블록마다 조정"
마이닝,작업증명,POW-002,난이도 검증,"블록의 작업증명 검증",높음,src/pow.cpp,pow.cpp,"블록 헤더, 목표 난이도",검증 결과,"해시 < 목표값"
RPC,블록체인 조회,RPC-BLOCK-001,getblockchaininfo,"블록체인 상태 정보 조회",높음,src/rpc/blockchain.cpp,rpc/blockchain.cpp,없음,"체인 정보, 블록 높이, 난이도","JSON 응답"
RPC,블록체인 조회,RPC-BLOCK-002,getblock,"특정 블록 정보 조회",높음,src/rpc/blockchain.cpp,rpc/blockchain.cpp,"블록 해시, 상세 레벨",블록 데이터,"JSON 또는 Hex"
RPC,블록체인 조회,RPC-BLOCK-003,getblockheader,"블록 헤더 정보 조회",중간,src/rpc/blockchain.cpp,rpc/blockchain.cpp,블록 해시,블록 헤더 데이터,"간단한 정보"
RPC,블록체인 조회,RPC-BLOCK-004,getblockcount,"현재 블록 높이 조회",높음,src/rpc/blockchain.cpp,rpc/blockchain.cpp,없음,블록 높이,"단순 숫자"
RPC,블록체인 조회,RPC-BLOCK-005,getblockhash,"높이로 블록 해시 조회",중간,src/rpc/blockchain.cpp,rpc/blockchain.cpp,블록 높이,블록 해시,"역방향 조회"
RPC,블록체인 조회,RPC-BLOCK-006,getbestblockhash,"최신 블록 해시 조회",중간,src/rpc/blockchain.cpp,rpc/blockchain.cpp,없음,최신 블록 해시,"체인 팁"
RPC,블록체인 조회,RPC-BLOCK-007,getdifficulty,"현재 난이도 조회",낮음,src/rpc/blockchain.cpp,rpc/blockchain.cpp,없음,난이도 값,"마이닝 난이도"
RPC,블록체인 조회,RPC-BLOCK-008,getchaintips,"모든 체인 팁 조회",낮음,src/rpc/blockchain.cpp,rpc/blockchain.cpp,없음,체인 팁 목록,"포크 확인"
RPC,블록체인 조회,RPC-BLOCK-009,gettxout,"UTXO 정보 조회",중간,src/rpc/blockchain.cpp,rpc/blockchain.cpp,"트랜잭션 ID, 출력 인덱스",UTXO 정보,"사용 가능 여부"
RPC,블록체인 조회,RPC-BLOCK-010,gettxoutsetinfo,"UTXO 세트 통계 조회",낮음,src/rpc/blockchain.cpp,rpc/blockchain.cpp,없음,"UTXO 수, 총 금액","전체 통계"
RPC,트랜잭션,RPC-TX-001,getrawtransaction,"트랜잭션 데이터 조회",높음,src/rpc/rawtransaction.cpp,rpc/rawtransaction.cpp,"트랜잭션 ID, 상세 여부",트랜잭션 데이터,"Raw 또는 JSON"
RPC,트랜잭션,RPC-TX-002,sendrawtransaction,"Raw 트랜잭션 전송",높음,src/rpc/rawtransaction.cpp,rpc/rawtransaction.cpp,"트랜잭션 Hex, 옵션",트랜잭션 ID,"네트워크 전파"
RPC,트랜잭션,RPC-TX-003,decoderawtransaction,"Raw 트랜잭션 디코딩",중간,src/rpc/rawtransaction.cpp,rpc/rawtransaction.cpp,트랜잭션 Hex,디코딩된 트랜잭션,"JSON 형식"
RPC,트랜잭션,RPC-TX-004,createrawtransaction,"Raw 트랜잭션 생성",중간,src/rpc/rawtransaction.cpp,rpc/rawtransaction.cpp,"입력, 출력",트랜잭션 Hex,"미서명 트랜잭션"
RPC,트랜잭션,RPC-TX-005,signrawtransactionwithkey,"개인키로 트랜잭션 서명",중간,src/rpc/rawtransaction.cpp,rpc/rawtransaction.cpp,"트랜잭션 Hex, 개인키",서명된 트랜잭션,"오프라인 서명"
RPC,트랜잭션,RPC-TX-006,testmempoolaccept,"트랜잭션 mempool 수락 테스트",낮음,src/rpc/rawtransaction.cpp,rpc/rawtransaction.cpp,트랜잭션 Hex,수락 여부,"dry-run 테스트"
RPC,네트워크,RPC-NET-001,getnetworkinfo,"네트워크 상태 정보 조회",중간,src/rpc/net.cpp,rpc/net.cpp,없음,"연결 수, 프로토콜 버전, 네트워크 타입","JSON 응답"
RPC,네트워크,RPC-NET-002,getpeerinfo,"연결된 피어 정보 조회",중간,src/rpc/net.cpp,rpc/net.cpp,없음,피어 목록,"IP, 버전, 지연시간"
RPC,네트워크,RPC-NET-003,getconnectioncount,"연결 수 조회",낮음,src/rpc/net.cpp,rpc/net.cpp,없음,연결 수,"단순 숫자"
RPC,네트워크,RPC-NET-004,addnode,"노드 추가/제거",낮음,src/rpc/net.cpp,rpc/net.cpp,"노드 주소, 명령",실행 결과,"수동 연결"
RPC,네트워크,RPC-NET-005,disconnectnode,"노드 연결 해제",낮음,src/rpc/net.cpp,rpc/net.cpp,노드 주소,실행 결과,"강제 해제"
RPC,네트워크,RPC-NET-006,setban,"노드 차단/해제",낮음,src/rpc/net.cpp,rpc/net.cpp,"노드 주소, BAN 명령",실행 결과,"수동 BAN"
RPC,네트워크,RPC-NET-007,listbanned,"차단된 노드 목록 조회",낮음,src/rpc/net.cpp,rpc/net.cpp,없음,차단 목록,"BAN 이유, 시간"
RPC,마이닝,RPC-MINE-001,getmininginfo,"마이닝 상태 정보 조회",낮음,src/rpc/mining.cpp,rpc/mining.cpp,없음,"난이도, 해시레이트, 네트워크 해시레이트","JSON 응답"
RPC,마이닝,RPC-MINE-002,getblocktemplate,"블록 템플릿 조회",중간,src/rpc/mining.cpp,rpc/mining.cpp,템플릿 요청,블록 템플릿,"마이너용"
RPC,마이닝,RPC-MINE-003,submitblock,"마이닝된 블록 제출",중간,src/rpc/mining.cpp,rpc/mining.cpp,블록 데이터,제출 결과,"블록 검증 및 추가"
RPC,마이닝,RPC-MINE-004,generatetoaddress,"테스트용 블록 생성",낮음,src/rpc/mining.cpp,rpc/mining.cpp,"블록 수, 주소",생성된 블록 해시 목록,"테스트넷/regtest 전용"
RPC,지갑,RPC-WALLET-001,getbalance,"지갑 잔액 조회",높음,src/wallet/rpc/wallet.cpp,wallet/rpc/wallet.cpp,"최소 확인 수, 계정",잔액,"확인/미확인 분리"
RPC,지갑,RPC-WALLET-002,sendtoaddress,"주소로 비트코인 전송",높음,src/wallet/rpc/spend.cpp,wallet/rpc/spend.cpp,"주소, 금액, 옵션",트랜잭션 ID,"자동 트랜잭션 생성"
RPC,지갑,RPC-WALLET-003,getnewaddress,"새 주소 생성",높음,src/wallet/rpc/addresses.cpp,wallet/rpc/addresses.cpp,"라벨, 주소 타입",비트코인 주소,"HD 지갑"
RPC,지갑,RPC-WALLET-004,listtransactions,"트랜잭션 목록 조회",중간,src/wallet/rpc/transactions.cpp,wallet/rpc/transactions.cpp,"계정, 개수, 오프셋",트랜잭션 목록,"페이징 지원"
RPC,지갑,RPC-WALLET-005,listunspent,"사용 가능 UTXO 목록",중간,src/wallet/rpc/coins.cpp,wallet/rpc/coins.cpp,"최소/최대 확인 수, 주소",UTXO 목록,"코인 선택용"
RPC,지갑,RPC-WALLET-006,createwallet,"새 지갑 생성",중간,src/wallet/rpc/wallet.cpp,wallet/rpc/wallet.cpp,"지갑 이름, 옵션",생성 결과,"디스크립터/레거시"
RPC,지갑,RPC-WALLET-007,loadwallet,"지갑 로드",중간,src/wallet/rpc/wallet.cpp,wallet/rpc/wallet.cpp,지갑 파일명,로드 결과,"다중 지갑 지원"
RPC,지갑,RPC-WALLET-008,unloadwallet,"지갑 언로드",낮음,src/wallet/rpc/wallet.cpp,wallet/rpc/wallet.cpp,지갑 이름,언로드 결과,"메모리 해제"
RPC,지갑,RPC-WALLET-009,backupwallet,"지갑 백업",중간,src/wallet/rpc/backup.cpp,wallet/rpc/backup.cpp,백업 경로,백업 결과,"파일 복사"
RPC,지갑,RPC-WALLET-010,encryptwallet,"지갑 암호화",높음,src/wallet/rpc/encrypt.cpp,wallet/rpc/encrypt.cpp,비밀번호,암호화 결과,"최초 1회만"
RPC,지갑,RPC-WALLET-011,walletpassphrase,"지갑 잠금 해제",높음,src/wallet/rpc/encrypt.cpp,wallet/rpc/encrypt.cpp,"비밀번호, 시간",해제 결과,"일시적 해제"
RPC,지갑,RPC-WALLET-012,walletlock,"지갑 잠금",중간,src/wallet/rpc/encrypt.cpp,wallet/rpc/encrypt.cpp,없음,잠금 결과,"즉시 잠금"
RPC,유틸리티,RPC-UTIL-001,validateaddress,"주소 유효성 검증",중간,src/rpc/util.cpp,rpc/util.cpp,주소,검증 결과,"주소 타입 정보"
RPC,유틸리티,RPC-UTIL-002,verifymessage,"메시지 서명 검증",낮음,src/rpc/signmessage.cpp,rpc/signmessage.cpp,"주소, 서명, 메시지",검증 결과,"소유권 증명"
RPC,유틸리티,RPC-UTIL-003,signmessage,"메시지 서명 생성",낮음,src/rpc/signmessage.cpp,rpc/signmessage.cpp,"주소, 메시지",서명,"개인키 필요"
RPC,유틸리티,RPC-UTIL-004,estimatesmartfee,"스마트 수수료 추정",중간,src/rpc/fees.cpp,rpc/fees.cpp,"목표 블록 수, 추정 모드",추정 수수료,"통계 기반"
RPC,멤풀,RPC-MEMPOOL-001,getmempoolinfo,"mempool 정보 조회",중간,src/rpc/mempool.cpp,rpc/mempool.cpp,없음,"크기, 트랜잭션 수, 총 수수료","JSON 응답"
RPC,멤풀,RPC-MEMPOOL-002,getrawmempool,"mempool 트랜잭션 목록",중간,src/rpc/mempool.cpp,rpc/mempool.cpp,상세 여부,트랜잭션 ID 목록,"상세 정보 옵션"
RPC,멤풀,RPC-MEMPOOL-003,getmempoolentry,"특정 트랜잭션 mempool 정보",낮음,src/rpc/mempool.cpp,rpc/mempool.cpp,트랜잭션 ID,mempool 엔트리 정보,"수수료, 크기 등"
인덱스,블록 인덱스,INDEX-001,트랜잭션 인덱스,"모든 트랜잭션 인덱싱 (txindex)",낮음,src/index/txindex.cpp,"index/txindex.cpp, index/txindex.h",트랜잭션 데이터,인덱스 데이터,"getrawtransaction 지원"
인덱스,블록 인덱스,INDEX-002,블록 필터 인덱스,"블록 필터 인덱싱 (BIP 157)",낮음,src/index/blockfilterindex.cpp,"index/blockfilterindex.cpp, index/blockfilterindex.h",블록 데이터,필터 인덱스,"경량 클라이언트용"
인덱스,블록 인덱스,INDEX-003,코인 통계 인덱스,"UTXO 통계 인덱싱",낮음,src/index/coinstatsindex.cpp,"index/coinstatsindex.cpp, index/coinstatsindex.h",UTXO 데이터,통계 인덱스,"gettxoutsetinfo 최적화"
보안,암호화,CRYPTO-001,SHA256 해싱,"SHA-256 해시 함수",높음,src/crypto/sha256.cpp,"crypto/sha256.cpp, crypto/sha256.h",데이터,해시 값,"블록 해시"
보안,암호화,CRYPTO-002,RIPEMD160 해싱,"RIPEMD-160 해시 함수",중간,src/crypto/ripemd160.cpp,"crypto/ripemd160.cpp, crypto/ripemd160.h",데이터,해시 값,"주소 생성"
보안,암호화,CRYPTO-003,secp256k1 연산,"타원곡선 암호화 연산",높음,src/secp256k1/,"secp256k1/ 전체","키, 메시지","서명, 검증 결과","외부 라이브러리"
보안,암호화,CRYPTO-004,AES 암호화,"AES-256 암호화/복호화",중간,src/crypto/aes.cpp,"crypto/aes.cpp, crypto/aes.h","키, 데이터","암호화/복호화된 데이터","지갑 암호화"
보안,암호화,CRYPTO-005,HMAC,"HMAC 메시지 인증",중간,src/crypto/hmac_sha256.cpp,"crypto/hmac_sha256.cpp, crypto/hmac_sha512.cpp","키, 메시지",HMAC 값,"무결성 검증"
보안,난수,RANDOM-001,난수 생성,"암호학적으로 안전한 난수 생성",높음,src/random.cpp,"random.cpp, random.h",엔트로피,난수,"키 생성용"
보안,난수,RANDOM-002,엔트로피 수집,"시스템으로부터 엔트로피 수집",높음,src/randomenv.cpp,"randomenv.cpp, randomenv.h",시스템 상태,엔트로피 데이터,"다양한 소스"
유틸리티,인코딩,UTIL-ENC-001,Base58 인코딩/디코딩,"Base58Check 인코딩/디코딩",중간,src/base58.cpp,"base58.cpp, base58.h",데이터,인코딩/디코딩 결과,"레거시 주소"
유틸리티,인코딩,UTIL-ENC-002,Bech32 인코딩/디코딩,"Bech32/Bech32m 인코딩/디코딩",중간,src/bech32.cpp,"bech32.cpp, bech32.h",데이터,인코딩/디코딩 결과,"SegWit 주소"
유틸리티,인코딩,UTIL-ENC-003,Hex 인코딩/디코딩,"16진수 인코딩/디코딩",낮음,src/util/strencodings.cpp,"util/strencodings.cpp, util/strencodings.h",데이터,인코딩/디코딩 결과,"범용"
유틸리티,시간,UTIL-TIME-001,시간 동기화,"네트워크 시간 동기화",중간,src/node/timeoffsets.cpp,"node/timeoffsets.cpp, node/timeoffsets.h",피어 시간 정보,조정된 시간,"피어 기반"
