ID,카테고리,기능명,상세설명,우선순위,상태,담당모듈,기술스택,입력,출력,비고
REQ-059,로깅,메시지 로그,P2P 메시지 수신 시 로그 출력,Low,완료,p2p.js,없음,메시지 객체,콘솔 로그,디버깅 용도
REQ-060,로깅,에러 로그,트랜잭션/블록 처리 실패 시 에러 로그,Medium,완료,p2p.js,없음,에러 메시지,콘솔 로그,문제 추적
REQ-061,확장성,다중 노드 지원,여러 노드가 동시에 실행 가능,High,완료,전체,없음,포트 설정,독립 노드,포트 충돌 방지
REQ-062,확장성,동적 피어 추가,실행 중 새로운 피어 연결 가능,High,완료,p2p.js,ws,피어 주소,연결 결과,API 또는 환경변수
REQ-063,확장성,트랜잭션 풀 크기,무제한 대기 트랜잭션 지원,Medium,완료,blockchain.js,없음,없음,없음,배열 기반
REQ-064,확장성,체인 길이,무제한 블록 추가 지원,High,완료,blockchain.js,없음,없음,없음,메모리 제약만 존재
REQ-065,미구현,데이터베이스 연동,블록체인 데이터 영속 저장,High,미구현,없음,LevelDB/MongoDB,없음,없음,향후 개선 필요
REQ-066,미구현,HTTPS 지원,보안 통신을 위한 HTTPS 프로토콜,High,미구현,없음,https,없음,없음,개인키 노출 위험
REQ-067,미구현,지갑 암호화,저장된 지갑 파일 암호화,High,미구현,없음,crypto,없음,없음,보안 강화 필요
REQ-068,미구현,JWT 인증,API 접근 제어를 위한 토큰 인증,Medium,미구현,없음,jsonwebtoken,없음,없음,인증/인가
REQ-069,미구현,UTXO 모델,미사용 트랜잭션 출력 기반 잔액 관리,Medium,미구현,없음,없음,없음,없음,성능 개선
REQ-070,미구현,머클 트리,트랜잭션 검증 최적화를 위한 머클 트리,Medium,미구현,없음,없음,없음,없음,효율성 향상
REQ-071,미구현,트랜잭션 인덱싱,빠른 조회를 위한 인덱스,Medium,미구현,없음,없음,없음,없음,성능 개선
REQ-072,미구현,DHT 피어 발견,분산 해시 테이블 기반 피어 발견,Medium,미구현,없음,없음,없음,없음,자동 네트워크 구성
REQ-073,미구현,NAT 통과,STUN/TURN을 통한 NAT 통과,Medium,미구현,없음,없음,없음,없음,인터넷 연결
REQ-074,미구현,네트워크 파티션 복구,네트워크 분할 감지 및 복구,Low,미구현,없음,없음,없음,없음,안정성 향상
REQ-075,미구현,웹 UI,브라우저 기반 지갑 인터페이스,Medium,미구현,없음,React/Vue,없음,없음,사용자 경험
REQ-076,미구현,블록 탐색기,블록체인 데이터 시각화 도구,Low,미구현,없음,없음,없음,없음,모니터링
REQ-077,미구현,실시간 모니터링,네트워크 상태 실시간 대시보드,Low,미구현,없음,없음,없음,없음,운영 도구
REQ-078,미구현,단위 테스트,각 모듈별 단위 테스트,High,미구현,없음,Jest/Mocha,없음,없음,코드 품질
REQ-079,미구현,통합 테스트,전체 시스템 통합 테스트,Medium,미구현,없음,없음,없음,없음,안정성 검증
REQ-080,미구현,입력 유효성 검사,API 입력값 타입 및 범위 검증,High,미구현,없음,Joi/Yup,없음,없음,보안 강화
