카테고리,기능ID,기능명,상세설명,우선순위,상태,담당영역,기술스택,예상공수(일)
히어로,HRO-006,스케일 애니메이션,비주얼 요소 fade-in + scale 효과,중간,완료,Frontend,Framer Motion,1
히어로,HRO-007,배경 그라데이션,다크 투 그레이 그라데이션 배경,낮음,완료,Frontend,Tailwind CSS,0.5
히어로,HRO-008,동영상 배경,히어로 섹션 배경 동영상 옵션,낮음,예정,Frontend,Next.js + Video,2
서비스,SRV-001,디앱 개발 서비스 카드,스마트컨트랙트/UI/UX/네트워크지원 설명,높음,완료,Frontend,React,1
서비스,SRV-002,밈코인 제작 서비스 카드,토큰개발/토큰노믹스/유동성/마케팅 설명,높음,완료,Frontend,React,1
서비스,SRV-003,노드 대행 서비스 카드,모니터링/인프라/백업/보안 설명,높음,완료,Frontend,React,1
서비스,SRV-004,서비스 아이콘,각 서비스별 아이콘 표시,중간,완료,Frontend,React Icons,0.5
서비스,SRV-005,3열 그리드 레이아웃,반응형 그리드 레이아웃,중간,완료,Frontend,Tailwind CSS,1
서비스,SRV-006,스태거 애니메이션,순차적 카드 표시 애니메이션,중간,완료,Frontend,Framer Motion,1.5
서비스,SRV-007,호버 효과,카드 호버 시 그림자 효과,낮음,완료,Frontend,Tailwind CSS,0.5
서비스,SRV-008,서비스 상세 모달,각 서비스 클릭 시 상세 정보 모달,낮음,예정,Frontend,React + Framer Motion,3
서비스,SRV-009,가격 정보 표시,각 서비스별 가격 정보,중간,예정,Frontend,React,1
차별화,WHY-001,차별화 포인트 섹션,전문성/경험/기술력 강조,높음,진행중,Frontend,React,2
차별화,WHY-002,통계 카운터,프로젝트 수/고객 수/성공률 애니메이션,중간,진행중,Frontend,React + Framer Motion,2
차별화,WHY-003,팀 소개,핵심 팀원 프로필,낮음,예정,Frontend,React,2
차별화,WHY-004,인증/수상 내역,관련 인증서 및 수상 내역 표시,낮음,예정,Frontend,React,1.5
프로세스,PRC-001,프로세스 단계 표시,상담→기획→개발→배포→유지보수,높음,진행중,Frontend,React,2
프로세스,PRC-002,타임라인 디자인,시각적 타임라인 레이아웃,중간,진행중,Frontend,Tailwind CSS,2
프로세스,PRC-003,단계별 애니메이션,각 단계별 순차 애니메이션,중간,예정,Frontend,Framer Motion,2
프로세스,PRC-004,예상 기간 표시,각 단계별 소요 기간 안내,낮음,예정,Frontend,React,1
포트폴리오,PRT-001,포트폴리오 섹션,완료 프로젝트 사례 표시,높음,진행중,Frontend,React,3
포트폴리오,PRT-002,프로젝트 카드,이미지/제목/설명/기술스택,높음,진행중,Frontend,React,2
포트폴리오,PRT-003,필터링 기능,서비스 유형별 필터링,중간,예정,Frontend,React Hooks,2
포트폴리오,PRT-004,상세 페이지,프로젝트 상세 정보 페이지,중간,예정,Frontend,Next.js Dynamic Routes,3
포트폴리오,PRT-005,이미지 갤러리,프로젝트 스크린샷 갤러리,낮음,예정,Frontend,React + Lightbox,2
포트폴리오,PRT-006,고객 후기,프로젝트별 고객 리뷰,중간,예정,Frontend,React,2
문의,CNT-001,문의 폼,이름/이메일/전화/서비스유형/메시지 입력,높음,진행중,Frontend,React Hook Form,2
문의,CNT-002,폼 유효성 검사,필수 항목 및 형식 검증,높음,예정,Frontend,React Hook Form + Yup,2
문의,CNT-003,문의 제출 API,백엔드 API 연동,높음,예정,Backend,Next.js API Routes,3
문의,CNT-004,이메일 발송,문의 내용 이메일 전송,높음,예정,Backend,Nodemailer / SendGrid,2
문의,CNT-005,제출 완료 메시지,성공/실패 피드백 표시,중간,예정,Frontend,React,1
문의,CNT-006,연락처 정보,이메일/전화/주소 표시,중간,진행중,Frontend,React,0.5
문의,CNT-007,지도 임베드,오피스 위치 지도,낮음,예정,Frontend,Google Maps API,1.5
문의,CNT-008,CAPTCHA,스팸 방지 캡챠,중간,예정,Frontend,reCAPTCHA,1.5
문의,CNT-009,Rate Limiting,API 호출 제한,중간,예정,Backend,Next.js Middleware,2
푸터,FTR-001,푸터 섹션,회사 정보 및 링크,높음,진행중,Frontend,React,1.5
푸터,FTR-002,소셜 미디어 링크,SNS 아이콘 및 링크,중간,예정,Frontend,React Icons,1
푸터,FTR-003,사이트맵,주요 페이지 링크 모음,낮음,예정,Frontend,React,1
푸터,FTR-004,저작권 정보,Copyright 및 법적 고지,중간,진행중,Frontend,React,0.5
푸터,FTR-005,개인정보처리방침,개인정보처리방침 페이지,중간,예정,Frontend,Next.js,2
푸터,FTR-006,이용약관,서비스 이용약관 페이지,중간,예정,Frontend,Next.js,2
푸터,FTR-007,뉴스레터 구독,이메일 구독 폼,낮음,예정,Frontend + Backend,React + API,3
성능,PRF-001,이미지 최적화,Next.js Image 컴포넌트 활용,높음,예정,Frontend,Next.js Image,2
성능,PRF-002,코드 스플리팅,동적 임포트 및 lazy loading,중간,예정,Frontend,Next.js,2
성능,PRF-003,폰트 최적화,폰트 로딩 전략 개선,중간,완료,Frontend,Next.js Font,1
성능,PRF-004,캐싱 전략,정적 자산 캐싱,중간,예정,Frontend,Next.js,1.5
성능,PRF-005,번들 사이즈 최적화,불필요한 의존성 제거,낮음,예정,Frontend,Webpack Bundle Analyzer,2
SEO,SEO-001,메타 태그 최적화,Title/Description 최적화,높음,완료,Frontend,Next.js,1
SEO,SEO-002,Open Graph 태그,소셜 미디어 공유 최적화,중간,예정,Frontend,Next.js,1
SEO,SEO-003,Twitter Card,트위터 카드 메타 태그,낮음,예정,Frontend,Next.js,0.5
SEO,SEO-004,Sitemap 생성,XML 사이트맵 자동 생성,중간,예정,Frontend,Next.js,1
SEO,SEO-005,robots.txt,검색엔진 크롤링 설정,중간,예정,Frontend,Next.js,0.5
SEO,SEO-006,구조화된 데이터,Schema.org JSON-LD,낮음,예정,Frontend,Next.js,2
SEO,SEO-007,Canonical URL,중복 콘텐츠 방지,낮음,예정,Frontend,Next.js,1
분석,ANL-001,Google Analytics,사용자 행동 분석,중간,예정,Frontend,GA4,1
분석,ANL-002,이벤트 트래킹,버튼 클릭/폼 제출 추적,중간,예정,Frontend,GA4 Events,2
분석,ANL-003,전환율 추적,문의 완료 전환 추적,중간,예정,Frontend,GA4 Conversions,1.5
분석,ANL-004,히트맵 분석,사용자 클릭/스크롤 히트맵,낮음,예정,Frontend,Hotjar / Microsoft Clarity,1
보안,SEC-001,HTTPS 적용,SSL 인증서 적용,높음,예정,Infra,Vercel,0.5
보안,SEC-002,CSRF 방지,문의 폼 CSRF 토큰,중간,예정,Backend,Next.js,1.5
보안,SEC-003,XSS 방지,입력값 sanitization,중간,예정,Backend,DOMPurify,1
보안,SEC-004,환경 변수 관리,민감 정보 환경 변수화,중간,예정,Backend,Next.js Env,1
보안,SEC-005,Content Security Policy,CSP 헤더 설정,낮음,예정,Backend,Next.js Headers,1.5
배포,DEP-001,Vercel 배포 설정,프로덕션 배포 환경 구축,높음,예정,Infra,Vercel,1
배포,DEP-002,도메인 연결,커스텀 도메인 설정,중간,예정,Infra,Vercel,0.5
배포,DEP-003,CI/CD 파이프라인,자동 빌드 및 배포,중간,예정,Infra,GitHub Actions,2
배포,DEP-004,환경별 설정,dev/staging/production 환경 분리,중간,예정,Infra,Vercel,1.5
배포,DEP-005,모니터링 설정,에러 트래킹 및 성능 모니터링,낮음,예정,Infra,Sentry / Vercel Analytics,2
테스트,TST-001,단위 테스트,컴포넌트 단위 테스트,중간,예정,Frontend,Jest + React Testing Library,5
테스트,TST-002,통합 테스트,페이지 통합 테스트,낮음,예정,Frontend,Jest,3
테스트,TST-003,E2E 테스트,사용자 시나리오 테스트,낮음,예정,Frontend,Playwright / Cypress,5
테스트,TST-004,접근성 테스트,WCAG 준수 테스트,낮음,예정,Frontend,axe-core,2
콘텐츠,CTN-001,실제 포트폴리오 데이터,완료 프로젝트 데이터 입력,높음,예정,Content,CMS / JSON,3
콘텐츠,CTN-002,서비스 상세 설명,각 서비스 상세 내용 작성,높음,예정,Content,Markdown,2
콘텐츠,CTN-003,회사 소개,회사 연혁 및 비전,중간,예정,Content,Markdown,1
콘텐츠,CTN-004,FAQ 섹션,자주 묻는 질문,중간,예정,Frontend + Content,React,2
콘텐츠,CTN-005,블로그/뉴스,기술 블로그 및 뉴스,낮음,예정,Frontend,Next.js + MDX,5
추가기능,ADD-001,채팅 상담,실시간 채팅 위젯,낮음,예정,Frontend,Tawk.to / Intercom,2
추가기능,ADD-002,견적 계산기,서비스별 예상 견적 계산,낮음,예정,Frontend,React,3
추가기능,ADD-003,프로젝트 의뢰서,상세 프로젝트 의뢰 폼,낮음,예정,Frontend + Backend,React + API,4
추가기능,ADD-004,고객 대시보드,프로젝트 진행 상황 확인,낮음,예정,Full Stack,Next.js + Database,10
추가기능,ADD-005,파트너 프로그램,파트너 등록 및 관리,낮음,예정,Full Stack,Next.js + Database,8
