ID,카테고리,기능명,상세설명,우선순위,상태,담당모듈,의존성,비고
FR-013,트랜잭션,토큰 전송,지정된 주소로 토큰 전송,High,구현완료,pkg/program/wallet.go,FR-009,수수료 5000000000000
FR-014,트랜잭션,다중 전송,최대 5개 주소로 동시에 토큰 전송,Medium,구현완료,pkg/program/wallet.go,FR-013,중복 주소 검증
FR-015,트랜잭션,트랜잭션 서명,개인키로 트랜잭션에 서명하여 무결성 보장,High,구현완료,pkg/core/model/signedtransaction.go,FR-009,Ed25519 서명
FR-016,트랜잭션,트랜잭션 검증,서명/타임스탬프/잔액 검증,High,구현완료,pkg/core/model/signedtransaction.go,FR-015,이중 지불 방지
FR-017,트랜잭션,트랜잭션 브로드캐스트,검증된 트랜잭션을 네트워크에 전파,High,구현완료,pkg/program/node.go,FR-001,P2P 전파
FR-018,트랜잭션,멤풀 관리,미확인 트랜잭션을 메모리풀에서 관리,High,구현완료,pkg/core/storage/mempoolstorage.go,FR-001,우선순위 큐
FR-019,트랜잭션,파우셋 요청,테스트넷에서 무료 토큰 요청,Low,구현완료,pkg/program/wallet.go,FR-001,테스트넷 전용
FR-020,트랜잭션,트랜잭션 카운트,주소별 트랜잭션 횟수 조회,Low,구현완료,pkg/program/wallet.go,FR-001,통계용
FR-021,마이닝,마이닝 시작,GPU 기반 마이닝 프로세스 시작,High,구현완료,pkg/program/minining.go,CUDA 환경,백그라운드 실행
FR-022,마이닝,마이닝 중지,실행 중인 마이닝 프로세스 종료,High,구현완료,pkg/program/minining.go,FR-021,PID 기반 종료
FR-023,마이닝,CUDA 해시 계산,GPU에서 SHA-256 해시를 병렬 계산,High,구현완료,mine/mine.cu,NVIDIA GPU,1M+ 스레드
FR-024,마이닝,Nonce 탐색,마이닝 난이도를 만족하는 nonce 값 탐색,High,구현완료,mine/mine.cu,FR-023,Atomic 연산
FR-025,마이닝,마이닝 결과 제출,발견한 nonce와 해시를 네트워크에 제출,High,구현완료,pkg/program/minining.go,FR-021,자동 제출
FR-026,마이닝,마이닝 등록,외부 API에 마이닝 노드 정보 등록,Medium,구현완료,pkg/program/minining.go,FR-021,api.saseulgold.org
FR-027,마이닝,최신 블록 조회,마이닝 전 최신 블록 높이 확인,High,구현완료,pkg/program/minining.go,FR-001,동기화 검증
FR-028,마이닝,마이닝 로깅,마이닝 프로세스의 상세 로그 기록,Medium,구현완료,pkg/program/minining.go,FR-021,mining.log 파일
FR-029,블록체인,블록 생성,검증된 트랜잭션들로 새 블록 생성,High,구현완료,pkg/core/model/block.go,FR-018,Merkle Tree 포함
FR-030,블록체인,블록 검증,블록의 해시/서명/트랜잭션 검증,High,구현완료,pkg/core/model/block.go,FR-029,체인 무결성
FR-031,블록체인,체인 저장,검증된 블록을 RocksDB에 영구 저장,High,구현완료,pkg/core/storage/chain.go,RocksDB,main_chain 디렉토리
FR-032,블록체인,체인 조회,블록 높이/해시로 블록 데이터 조회,High,구현완료,pkg/core/storage/chain.go,FR-031,인덱싱 지원
FR-033,블록체인,포크 처리,체인 분기 발생 시 가장 긴 체인 선택,High,구현완료,pkg/raft/consensus.go,FR-030,Raft 합의
FR-034,블록체인,제네시스 블록,네트워크 시작 시 초기 블록 생성,High,구현완료,pkg/service/genesis.go,없음,초기 공급량 설정
FR-035,블록체인,블록 커밋,Raft 합의 후 블록을 체인에 커밋,High,구현완료,pkg/service/forcecommit.go,FR-033,10초 간격
FR-036,합의,Raft 리더 선출,분산 노드 중 리더 노드 선출,High,구현완료,pkg/raft/consensus.go,FR-001,투표 기반
FR-037,합의,로그 복제,리더의 로그를 팔로워에게 복제,High,구현완료,pkg/raft/log.go,FR-036,순서 보장
FR-038,합의,하트비트,리더가 팔로워에게 주기적 하트비트 전송,High,구현완료,pkg/raft/protocol.go,FR-036,타임아웃 감지
FR-039,합의,합의 달성,과반수 노드의 동의로 합의 달성,High,구현완료,pkg/service/consensus.go,FR-036,Quorum 기반
FR-040,저장소,상태 저장,계정 잔액 및 상태를 RocksDB에 저장,High,구현완료,pkg/core/storage/storagestatus.go,RocksDB,status.rocks
FR-041,저장소,트랜잭션 인덱스,트랜잭션을 주소/해시로 검색 가능하게 인덱싱,Medium,구현완료,pkg/core/storage/storagestatusindex.go,FR-031,tx.rocks
FR-042,저장소,메타데이터 관리,블록 높이/체인 정보 등 메타데이터 관리,High,구현완료,pkg/core/storage/metastore.go,RocksDB,metastore.rocks
FR-043,저장소,레플리카 버퍼,레플리카 노드의 동기화 버퍼 관리,Medium,구현완료,pkg/core/storage/replicabuffer.go,FR-005,비동기 동기화
FR-044,스마트컨트랙트,VM 실행,스마트 컨트랙트 바이트코드 실행,Medium,구현완료,pkg/core/vm/machine.go,FR-029,인터프리터 방식
FR-045,스마트컨트랙트,산술 연산,덧셈/뺄셈/곱셈/나눗셈 연산 지원,Medium,구현완료,pkg/core/vm/arithmeticoperator.go,FR-044,오버플로우 검사
FR-046,스마트컨트랙트,비교 연산,크기 비교/동등성 비교 연산 지원,Medium,구현완료,pkg/core/vm/comparisonoperator.go,FR-044,불린 반환
FR-047,스마트컨트랙트,타입 변환,문자열/숫자/불린 간 타입 변환,Medium,구현완료,pkg/core/vm/castoperator.go,FR-044,안전한 변환
FR-048,스마트컨트랙트,체인 연산,블록체인 데이터 읽기 연산,Medium,구현완료,pkg/core/vm/chainoperator.go,FR-044,잔액/블록 조회
FR-049,스마트컨트랙트,읽기 연산,상태 저장소에서 데이터 읽기,Medium,구현완료,pkg/core/vm/readoperator.go,FR-044,읽기 전용
FR-050,스마트컨트랙트,ABI 인터페이스,컨트랙트 함수 호출 인터페이스,Medium,구현완료,pkg/core/abi/abi.go,FR-044,JSON 기반
FR-051,보안,TLS 인증서 관리,TLS 인증서 생성 및 검증,High,구현완료,pkg/swift/tls.go,OpenSSL,자동 갱신 필요
FR-052,보안,메시지 압축,네트워크 메시지 압축으로 대역폭 절약,Medium,구현완료,pkg/swift/compression.go,FR-001,선택적 압축
FR-053,보안,감사 로깅,모든 중요 이벤트를 감사 로그에 기록,High,구현완료,pkg/core/logging/audit.go,FR-001,회전 로그
FR-054,보안,서명 검증,Ed25519 서명의 유효성 검증,High,구현완료,pkg/crypto/crypto.go,FR-015,공개키 기반
FR-055,API,RPC 서버,JSON-RPC 기반 API 서버 제공,High,구현완료,pkg/rpc/factory.go,FR-001,HTTP/HTTPS
FR-056,API,RPC 클라이언트,다른 노드의 RPC API 호출,High,구현완료,pkg/core/network/rpc_client.go,FR-001,재시도 로직
FR-057,API,인증 RPC,관리자 권한이 필요한 RPC 호출,High,구현완료,pkg/core/network/rpc.go,FR-051,토큰 기반
FR-058,API,배치 요청,여러 요청을 하나로 묶어 처리,Medium,구현완료,pkg/core/config/network.go,FR-055,최대 128개
FR-059,유틸리티,시간 유틸리티,마이크로초 단위 타임스탬프 생성,High,구현완료,pkg/util/time.go,없음,Utime 함수
FR-060,유틸리티,인코딩 유틸리티,16진수/Base64 인코딩/디코딩,High,구현완료,pkg/util/enc.go,없음,데이터 변환
FR-061,유틸리티,수학 유틸리티,큰 수 연산 및 E18 단위 변환,High,구현완료,pkg/util/math.go,없음,토큰 단위 변환
FR-062,유틸리티,문자열 유틸리티,문자열 조작 및 검증 함수,Medium,구현완료,pkg/util/str.go,없음,주소 검증 등
FR-063,유틸리티,프로세스 관리,백그라운드 프로세스 시작/종료 관리,High,구현완료,pkg/util/proc.go,없음,PID 파일 기반
FR-064,유틸리티,로거 생성,구조화된 로거 인스턴스 생성,High,구현완료,pkg/util/log.go,Zap,로그 레벨 설정
FR-065,CLI,명령어 파싱,Cobra 기반 CLI 명령어 파싱,High,구현완료,pkg/program/root.go,Cobra,계층적 구조
FR-066,CLI,플래그 처리,명령어 옵션 및 플래그 처리,High,구현완료,pkg/program/root.go,FR-065,필수/선택 플래그
FR-067,CLI,출력 포맷팅,JSON 응답을 보기 좋게 포맷팅,Medium,구현완료,pkg/program/wallet.go,FR-065,들여쓰기 지원
FR-068,CLI,에러 처리,사용자 친화적인 에러 메시지 출력,High,구현완료,pkg/program/root.go,FR-065,상세 에러 정보
FR-069,설정,INI 파일 파싱,network.ini 설정 파일 읽기,High,구현완료,pkg/core/config/network.go,gopkg.in/ini.v1,동적 로딩
FR-070,설정,네트워크 설정,포트/호스트/난이도 등 네트워크 설정,High,구현완료,pkg/core/config/network.go,FR-069,환경별 설정
FR-071,설정,블록 설정,블록 간격/크기 등 블록 관련 설정,High,구현완료,pkg/core/config/block.go,FR-069,하드포크 지원
FR-072,설정,트랜잭션 설정,수수료/배치 크기 등 트랜잭션 설정,High,구현완료,pkg/core/config/transaction.go,FR-069,정책 기반
FR-073,설정,저장소 설정,데이터베이스 경로 및 옵션 설정,High,구현완료,pkg/core/config/storage.go,FR-069,디렉토리 구조
FR-074,데이터구조,Merkle Tree,트랜잭션 무결성 검증용 머클 트리,High,구현완료,pkg/core/structure/merkletree.go,FR-029,SHA-256 해시
FR-075,데이터구조,Ordered Map,순서가 보장되는 키-값 맵,High,구현완료,pkg/core/structure/orderedmap.go,FR-015,직렬화 지원
FR-076,모니터링,메트릭 수집,네트워크/블록/트랜잭션 메트릭 수집,Medium,구현완료,pkg/swift/metric.go,FR-001,실시간 모니터링
FR-077,모니터링,이벤트 큐,비동기 이벤트 처리 큐,Medium,구현완료,pkg/swift/eventqueue.go,FR-001,버퍼링 지원
FR-078,테스트,단위 테스트,각 모듈의 단위 테스트,High,구현완료,test/,testify,커버리지 측정
FR-079,테스트,통합 테스트,노드 간 통신 통합 테스트,Medium,구현완료,test/,FR-078,멀티 노드
FR-080,테스트,스트레스 테스트,고부하 상황에서의 성능 테스트,Medium,구현완료,stress.py,FR-001,부하 생성
FR-081,개발도구,블록 검증 도구,블록 데이터 검증 Python 스크립트,Low,구현완료,helptools/blkcheck.py,FR-031,디버깅용
FR-082,개발도구,체인 리더,체인 데이터 읽기 Python 스크립트,Low,구현완료,helptools/chainreader.py,FR-031,분석용
FR-083,개발도구,인덱서,블록체인 데이터 인덱싱 도구,Low,구현완료,helptools/indexer.py,FR-031,검색 최적화
FR-084,개발도구,트랜잭션 리더,트랜잭션 인덱스 읽기 도구,Low,구험완료,helptools/txindexreader.py,FR-041,분석용
FR-085,배포,초기화 스크립트,노드 초기 설정 자동화 스크립트,High,구현완료,init.sh,없음,의존성 설치
FR-086,배포,Docker 지원,Docker 컨테이너 기반 배포,Medium,미구현,없음,Docker,컨테이너화
FR-087,배포,자동 업데이트,클라이언트 자동 업데이트 기능,Low,미구현,없음,FR-001,버전 체크
FR-088,성능,캐싱,자주 조회되는 데이터 캐싱,Medium,부분구현,pkg/core/storage/,FR-031,메모리 캐시
FR-089,성능,연결 풀,데이터베이스 연결 풀 관리,Medium,구현완료,pkg/core/storage/,RocksDB,재사용
FR-090,성능,병렬 처리,트랜잭션 검증 병렬 처리,Medium,부분구현,pkg/core/model/,FR-016,고루틴 활용
FR-091,확장성,샤딩,데이터베이스 샤딩 지원,Low,미구현,없음,FR-031,수평 확장
FR-092,확장성,크로스체인,다른 블록체인과의 브릿지,Low,미구현,없음,FR-001,상호운용성
FR-093,확장성,레이어2,레이어2 솔루션 통합,Low,미구현,없음,FR-001,확장성
FR-094,사용성,웹 대시보드,노드 모니터링 웹 UI,Low,미구현,없음,FR-001,관리 편의성
FR-095,사용성,모바일 지갑,모바일 지갑 앱,Low,미구현,없음,FR-008,사용자 접근성
FR-096,사용성,하드웨어 지갑,하드웨어 지갑 연동,Low,미구현,없음,FR-008,보안 강화
FR-097,거버넌스,투표 시스템,온체인 거버넌스 투표,Low,미구현,없음,FR-001,탈중앙화
FR-098,거버넌스,제안 시스템,네트워크 개선 제안 시스템,Low,미구현,없음,FR-097,커뮤니티 참여
FR-099,DEX,토큰 스왑,탈중앙화 토큰 교환,Medium,부분구현,pkg/program/dex.go,FR-001,AMM 방식
FR-100,DEX,유동성 풀,유동성 공급 및 보상,Medium,부분구현,pkg/program/dex.go,FR-099,LP 토큰
